0	1	2	1.270507
0	1	6	1.231922
0	1	1	1.219555
0	1	9	1.172902
0	1	19	1.145438
0	1	0	0.892695
0	1	10	0.779603
0	1	12	0.363719
0	1	18	-0.655866
0	1	15	-1.000163
0	1	5	-1.252855
0	1	4	-1.713600
0	1	3	-3.327826
0	1	8	-4.286108
0	1	14	-4.305335
0	1	11	-4.527394
0	1	7	-4.590276
0	1	16	-4.615342
0	1	17	-4.623880
0	1	13	-4.630943
0	2	9	1.237506
0	2	5	1.202160
0	2	2	1.167189
0	2	1	1.092472
0	2	4	1.051791
0	2	0	1.010359
0	2	18	0.433305
0	2	3	-0.515329
0	2	15	-0.944234
0	2	12	-1.808140
0	2	14	-2.233288
0	2	6	-3.314129
0	2	10	-3.810770
0	2	19	-4.132889
0	2	8	-4.260131
0	2	11	-4.357990
0	2	16	-4.487263
0	2	7	-4.496565
0	2	13	-4.526066
0	2	17	-4.572210
0	3	9	1.261402
0	3	1	1.124046
0	3	10	1.065979
0	3	2	1.019903
0	3	4	0.949741
0	3	5	0.906821
0	3	0	0.778475
0	3	15	-0.443538
0	3	12	-0.530592
0	3	3	-0.714754
0	3	18	-1.378963
0	3	6	-1.807655
0	3	19	-2.279434
0	3	14	-3.966344
0	3	8	-4.120127
0	3	11	-4.351941
0	3	17	-4.544793
0	3	7	-4.545530
0	3	13	-4.602445
0	3	16	-4.635457
0	14	52	1.097302
0	14	26	1.051307
0	14	22	1.012091
0	14	27	0.957837
0	14	58	0.934921
0	14	85	0.908768
0	14	31	0.881559
0	14	61	0.847968
0	14	43	0.647982
0	14	32	0.448798
0	14	3	-1.284817
0	14	51	-2.062581
0	14	45	-2.709917
0	14	66	-2.763558
0	14	57	-2.791216
0	14	63	-2.880185
0	14	54	-3.212072
0	14	56	-3.253853
0	14	72	-3.508427
0	14	21	-3.986416
0	14	42	-4.016294
0	14	37	-4.072175
0	14	65	-4.124765
0	14	25	-4.139800
0	14	36	-4.147954
0	14	8	-4.150383
0	14	30	-4.161199
0	14	46	-4.163804
0	14	14	-4.163845
0	14	29	-4.224562
0	14	40	-4.239898
0	14	38	-4.248252
0	14	20	-4.248975
0	14	50	-4.255733
0	14	48	-4.255990
0	14	47	-4.259181
0	14	34	-4.284107
0	14	75	-4.286628
0	14	11	-4.307105
0	14	76	-4.315801
0	14	33	-4.318748
0	14	18	-4.323587
0	14	28	-4.338828
0	14	71	-4.340064
0	14	41	-4.342876
0	14	24	-4.361385
0	14	35	-4.377767
0	14	23	-4.411358
0	14	69	-4.416306
0	14	77	-4.429026
0	14	73	-4.432553
0	14	62	-4.441894
0	14	49	-4.456564
0	14	79	-4.469392
0	14	39	-4.470436
0	14	55	-4.474956
0	14	53	-4.496473
0	14	44	-4.513808
0	14	70	-4.515530
0	14	64	-4.526195
0	14	74	-4.535328
0	14	16	-4.557161
0	14	78	-4.626469
