0	1	2	1.677190
0	1	14	1.204251
0	1	10	0.727189
0	1	11	0.467299
0	1	5	0.364329
0	1	15	0.337816
0	1	3	0.085010
0	1	0	0.068495
0	1	9	-0.080113
0	1	7	-0.200369
0	1	18	-0.296846
0	1	6	-0.795711
0	1	16	-0.961020
0	1	8	-0.968651
0	1	1	-1.246803
0	1	4	-1.740489
0	1	19	-1.809775
0	1	12	-2.382662
0	1	13	-3.655094
0	1	17	-3.936477
0	2	2	0.674913
0	2	11	0.616184
0	2	7	0.457521
0	2	14	0.446603
0	2	5	-0.330785
0	2	0	-0.339299
0	2	10	-0.412535
0	2	3	-0.661907
0	2	9	-1.029764
0	2	15	-1.083695
0	2	6	-1.156273
0	2	1	-1.561275
0	2	4	-1.747514
0	2	8	-1.906640
0	2	16	-2.051503
0	2	19	-2.413341
0	2	18	-2.858239
0	2	12	-3.129547
0	2	13	-4.741271
0	2	17	-5.439776
0	3	10	1.260487
0	3	14	0.840556
0	3	5	0.833356
0	3	2	0.732762
0	3	11	0.471706
0	3	15	0.415206
0	3	6	0.227386
0	3	3	0.215373
0	3	9	0.145222
0	3	0	0.053464
0	3	18	-0.186622
0	3	1	-0.199413
0	3	4	-0.392529
0	3	8	-0.394340
0	3	16	-0.588224
0	3	19	-0.650611
0	3	7	-0.748375
0	3	12	-1.610873
0	3	13	-1.759077
0	3	17	-2.541107
0	14	23	1.441868
0	14	39	1.382003
0	14	30	1.228990
0	14	51	1.006871
0	14	56	0.861043
0	14	61	0.799102
0	14	55	0.797794
0	14	14	0.759416
0	14	42	0.707757
0	14	50	0.637674
0	14	22	0.631270
0	14	63	0.578299
0	14	77	0.549932
0	14	40	0.525815
0	14	43	0.432334
0	14	21	0.429620
0	14	78	0.416806
0	14	64	0.341199
0	14	27	0.317971
0	14	57	0.285832
0	14	38	0.280880
0	14	28	0.223636
0	14	74	0.201883
0	14	31	0.078200
0	14	52	0.030919
0	14	26	0.016562
0	14	11	-0.002664
0	14	3	-0.004491
