0	1	2	1.278624
0	1	19	1.189477
0	1	18	1.156706
0	1	5	1.144015
0	1	9	0.987962
0	1	14	0.785070
0	1	6	0.378124
0	1	8	0.308624
0	1	1	0.234369
0	1	15	0.197017
0	1	0	-0.388234
0	1	3	-0.393341
0	1	4	-0.807541
0	1	12	-0.924556
0	1	10	-2.226259
0	1	11	-2.368440
0	1	7	-2.510644
0	1	13	-2.797107
0	1	16	-2.933688
0	1	17	-3.052302
0	2	3	1.460172
0	2	2	1.425043
0	2	9	1.323655
0	2	5	1.252422
0	2	1	1.169479
0	2	18	1.118902
0	2	15	1.089652
0	2	6	0.550647
0	2	10	0.311526
0	2	14	0.068331
0	2	4	-0.237213
0	2	0	-0.643726
0	2	8	-1.290383
0	2	11	-1.847990
0	2	19	-2.340985
0	2	12	-2.766636
0	2	16	-2.815194
0	2	7	-2.872900
0	2	17	-2.898656
0	2	13	-3.073779
0	3	5	1.363824
0	3	9	1.329161
0	3	2	1.276754
0	3	6	1.273623
0	3	19	1.245515
0	3	1	1.226411
0	3	3	1.213593
0	3	14	1.122094
0	3	0	1.106416
0	3	10	1.055552
0	3	15	1.035102
0	3	4	0.905477
0	3	12	0.791311
0	3	18	0.340303
0	3	17	-1.009071
0	3	8	-2.094438
0	3	11	-2.716277
0	3	7	-2.889457
0	3	16	-3.007376
0	3	13	-3.176740
0	14	27	1.423985
0	14	31	1.322700
0	14	26	1.145726
0	14	45	1.086154
0	14	54	1.033728
0	14	52	1.030385
0	14	58	0.808736
0	14	3	0.695591
0	14	43	0.659561
0	14	32	0.655336
0	14	51	0.642247
0	14	14	0.549244
0	14	63	0.513657
0	14	36	0.498448
0	14	85	0.466150
0	14	56	0.408436
0	14	28	0.374603
0	14	22	0.347051
0	14	57	0.344917
0	14	61	0.244270
0	14	66	-0.043029
0	14	38	-0.090262
0	14	47	-0.232896
0	14	18	-0.452938
0	14	50	-0.561769
0	14	8	-0.620401
0	14	72	-0.995879
0	14	48	-1.329708
0	14	29	-1.338655
0	14	49	-1.351833
0	14	21	-1.439996
0	14	46	-1.561560
0	14	37	-1.714878
0	14	65	-1.733893
0	14	23	-1.801553
0	14	40	-1.857993
0	14	74	-1.954303
0	14	79	-1.998717
0	14	30	-2.002145
0	14	20	-2.040313
0	14	71	-2.054925
0	14	42	-2.236715
0	14	25	-2.327755
0	14	34	-2.376112
0	14	69	-2.474004
0	14	33	-2.496513
0	14	41	-2.534383
0	14	62	-2.551054
0	14	35	-2.566200
0	14	75	-2.620037
0	14	70	-2.640919
0	14	53	-2.658196
0	14	64	-2.694496
0	14	73	-2.713052
0	14	11	-2.740033
0	14	77	-2.749311
0	14	39	-2.771094
0	14	24	-2.834910
0	14	55	-2.878310
0	14	44	-2.880074
0	14	78	-2.909292
0	14	76	-2.913971
0	14	16	-2.939575
0	15	26	1.675097
0	15	50	1.615737
0	15	3	1.523580
0	15	31	1.479784
0	15	22	1.415922
0	15	48	1.415375
0	15	27	1.357843
0	15	51	1.327494
0	15	52	1.325921
0	15	36	1.316005
0	15	43	1.312500
0	15	14	1.304177
0	15	58	1.265836
0	15	54	1.264247
0	15	28	1.259203
0	15	56	1.244811
0	15	62	1.225107
0	15	8	1.155914
0	15	32	1.145652
0	15	37	1.042566
0	15	18	0.961384
0	15	46	0.880956
0	15	45	0.764587
0	15	72	0.718465
0	15	42	0.717807
0	15	57	0.592389
0	15	65	0.569661
0	15	63	0.537100
0	15	38	0.529343
0	15	74	0.206146
0	15	85	-0.053125
0	15	23	-0.164667
0	15	20	-0.403902
0	15	30	-0.632011
0	15	21	-0.654013
0	15	47	-0.829204
0	15	64	-0.910795
0	15	29	-0.962132
0	15	49	-0.966066
0	15	25	-1.551677
0	15	16	-1.696186
0	15	40	-1.708045
0	15	79	-1.711263
0	15	66	-1.813688
0	15	61	-1.814008
0	15	70	-2.005299
0	15	71	-2.063899
0	15	34	-2.221206
0	15	35	-2.290871
0	15	69	-2.417786
0	15	75	-2.529936
0	15	33	-2.605268
0	15	41	-2.660558
0	15	53	-2.728501
0	15	11	-2.733394
0	15	73	-2.762226
0	15	77	-2.767266
0	15	39	-2.809152
0	15	24	-2.853976
0	15	44	-2.916126
0	15	55	-2.979578
0	15	76	-2.984399
0	15	78	-2.998594
0	16	56	1.736582
0	16	26	1.666692
0	16	54	1.649969
0	16	3	1.625923
0	16	27	1.595682
0	16	31	1.587195
0	16	45	1.555273
0	16	51	1.543108
