0	1	2	6.145050
0	1	14	5.164735
0	1	19	5.134585
0	1	6	5.078936
0	1	0	4.995675
0	1	5	4.846344
0	1	11	4.833205
0	1	7	4.795595
0	1	9	4.501527
0	1	15	4.233904
0	1	8	3.983773
0	1	12	3.602082
0	1	1	3.387794
0	1	13	3.129507
0	1	3	2.069140
0	1	10	-1.850552
0	1	4	-4.508792
0	1	17	-5.288148
0	1	18	-7.692924
0	1	16	-8.049081
0	2	2	7.967388
0	2	9	7.017698
0	2	5	6.883265
0	2	14	6.458889
0	2	15	5.761865
0	2	0	5.310468
0	2	1	4.182507
0	2	12	4.062900
0	2	6	3.240765
0	2	4	1.337487
0	2	3	1.195856
0	2	11	0.971774
0	2	13	0.869795
0	2	10	0.750639
0	2	8	-0.546933
0	2	19	-6.064751
0	2	16	-7.968328
0	2	7	-8.326327
0	2	17	-8.510935
0	2	18	-8.585395
0	3	5	7.225814
0	3	0	6.995650
0	3	9	6.949917
0	3	2	6.912732
0	3	12	6.553686
0	3	15	6.399140
0	3	1	5.983463
0	3	4	5.721506
0	3	19	5.037952
0	3	7	4.749331
0	3	14	4.711363
0	3	10	4.364582
0	3	3	4.013508
0	3	6	2.842222
0	3	8	2.059985
0	3	13	-0.940764
0	3	11	-3.800029
0	3	17	-5.894434
0	3	16	-7.591070
0	3	18	-8.932335
0	4	12	8.141500
0	4	11	8.089007
0	4	2	7.298618
0	4	14	6.222498
0	4	15	6.149719
0	4	0	4.813583
0	4	9	4.190365
0	4	5	2.732336
0	4	10	1.131827
0	4	1	0.742164
0	4	8	0.558041
0	4	4	-0.028718
0	4	3	-1.145681
0	4	19	-2.666094
0	4	13	-2.920410
0	4	17	-4.970850
0	4	6	-6.424178
0	4	16	-8.201628
0	4	18	-8.739895
0	4	7	-9.071517
0	5	2	6.024500
0	5	15	5.372951
0	5	9	5.288651
0	5	0	5.202363
0	5	14	5.056527
0	5	5	4.729976
0	5	3	4.394521
0	5	1	3.936943
0	5	12	3.621882
0	5	4	3.538443
0	5	8	3.425340
0	5	6	3.407497
0	5	7	3.105009
0	5	11	-1.447202
0	5	19	-1.952818
0	5	13	-3.965133
0	5	10	-4.754397
0	5	18	-5.948700
0	5	17	-7.259462
0	5	16	-7.590178
0	6	14	6.533285
0	6	12	1.702496
0	6	13	-0.602061
0	6	3	-0.859780
0	6	1	-1.297085
0	6	15	-2.810895
0	6	0	-2.904184
0	6	5	-3.589349
0	6	2	-4.119440
0	6	10	-4.567795
0	6	8	-5.204216
0	6	9	-5.961582
0	6	16	-8.043366
0	6	17	-8.165408
0	6	19	-8.436727
0	6	4	-9.106565
0	6	6	-9.113156
0	6	7	-9.256577
0	6	11	-9.474025
0	6	18	-9.624717
0	7	15	6.708738
0	7	2	6.467017
0	7	19	5.537649
0	7	8	5.349546
0	7	10	5.150949
0	7	14	4.656779
0	7	5	4.277264
0	7	9	2.793343
0	7	1	2.663012
0	7	3	1.633069
0	7	12	-0.461014
0	7	0	-3.871691
0	7	4	-4.763759
0	7	18	-6.514536
0	7	17	-6.785416
0	7	16	-6.859258
0	7	6	-7.407281
0	7	13	-8.152974
0	7	7	-9.094543
0	7	11	-9.881210
0	8	2	5.851601
0	8	8	4.306766
0	8	19	4.006286
0	8	5	3.942201
0	8	14	3.663210
0	8	0	3.527816
0	8	15	3.387995
0	8	9	3.099837
0	8	10	3.063233
0	8	12	1.836895
0	8	3	1.483387
0	8	7	1.248260
0	8	1	-0.053434
0	8	13	-0.739154
0	8	6	-4.570555
0	8	18	-5.172957
0	8	11	-7.662298
0	8	4	-8.063070
0	8	16	-8.070778
0	8	17	-9.345137
0	9	9	7.211498
0	9	5	7.131874
0	9	12	6.476532
0	9	0	6.394161
0	9	15	6.043008
0	9	2	5.813170
0	9	1	5.487339
0	9	14	5.451517
0	9	8	5.422805
0	9	7	4.088006
0	9	3	3.708444
0	9	4	3.361659
0	9	10	3.265363
0	9	6	3.251580
0	9	19	1.197682
0	9	11	-2.921994
0	9	16	-8.007986
0	9	13	-8.095300
0	9	18	-9.204296
0	9	17	-9.219249
0	10	5	7.501951
0	10	4	6.073742
0	10	9	5.908322
0	10	15	4.972896
0	10	14	3.961685
0	10	2	3.003405
0	10	12	2.522481
0	10	0	1.380794
0	10	6	1.303822
0	10	1	0.918153
0	10	8	0.852520
0	10	13	-1.864160
0	10	3	-2.036040
0	10	10	-4.068329
0	10	11	-4.212029
0	10	19	-6.793481
0	10	16	-8.030298
0	10	17	-8.416655
0	10	18	-8.719943
0	10	7	-9.095187
0	11	2	7.174068
0	11	19	6.031272
0	11	5	5.898712
0	11	10	5.757974
0	11	14	5.397608
