0	1	2	3.799194
0	1	14	2.533104
0	1	10	1.499219
0	1	11	1.240488
0	1	15	1.213564
0	1	9	0.272425
0	1	0	0.133539
0	1	18	0.121258
0	1	8	-0.296126
0	1	3	-0.796206
0	1	1	-1.737917
0	1	5	-2.029801
0	1	16	-2.860837
0	1	6	-3.155025
0	1	7	-3.626773
0	1	19	-3.639427
0	1	4	-4.814814
0	1	12	-4.849396
0	1	13	-5.238806
0	1	17	-10.075361
0	2	8	1.809057
0	2	11	-0.037372
0	2	7	-0.655999
0	2	10	-1.081438
0	2	0	-1.126053
0	2	14	-1.289456
0	2	3	-1.417565
0	2	1	-2.046999
0	2	2	-2.855888
0	2	6	-2.998380
0	2	5	-3.543653
0	2	19	-4.086353
0	2	15	-4.201956
0	2	9	-4.302091
0	2	12	-4.519712
0	2	4	-4.813565
0	2	18	-4.832184
0	2	13	-5.103149
0	2	16	-9.791444
0	2	17	-11.294651
0	3	11	3.460566
0	3	10	2.872170
0	3	13	2.028600
0	3	14	1.764262
0	3	6	1.130100
0	3	8	0.081548
0	3	1	-0.046400
0	3	0	-0.056911
0	3	3	-0.156339
0	3	4	-0.263005
0	3	16	-0.366783
0	3	2	-0.423033
0	3	5	-0.425762
0	3	12	-0.618103
0	3	15	-0.735340
0	3	19	-0.850812
0	3	9	-0.938255
0	3	18	-1.946147
0	3	7	-3.011005
0	3	17	-7.205292
0	14	51	2.952511
0	14	23	1.639354
0	14	39	1.512386
0	14	56	1.345657
0	14	40	1.202321
0	14	61	1.163856
0	14	42	0.941764
0	14	30	0.924893
0	14	27	0.786302
0	14	57	0.772258
0	14	63	0.596480
0	14	37	0.544219
0	14	14	0.412774
0	14	31	0.329079
0	14	36	0.176587
0	14	29	0.146286
0	14	62	0.130767
0	14	8	0.038742
0	14	21	0.029471
0	14	26	-0.119527
0	14	38	-0.246663
0	14	74	-0.249585
0	14	45	-0.279647
0	14	32	-0.290892
0	14	11	-0.298812
0	14	25	-0.300034
0	14	43	-0.353157
0	14	77	-0.409259
0	14	22	-0.475805
0	14	3	-0.567089
0	14	48	-0.650643
0	14	50	-0.653679
0	14	53	-0.677193
0	14	52	-0.712738
0	14	28	-0.779136
0	14	71	-0.792001
0	14	54	-0.796685
0	14	78	-0.856963
0	14	75	-0.915935
0	14	65	-0.986301
0	14	64	-1.023487
0	14	58	-1.082584
0	14	55	-1.364047
0	14	73	-1.481257
0	14	76	-1.481721
0	14	79	-1.565840
0	14	35	-1.567873
0	14	18	-1.571117
0	14	46	-1.638011
0	14	44	-1.939293
0	14	70	-1.980941
0	14	34	-2.257499
0	14	72	-2.342598
0	14	66	-2.410140
0	14	33	-2.479001
0	14	41	-2.532030
0	14	24	-2.647310
0	14	16	-2.788878
0	14	20	-2.877152
0	14	85	-2.879215
0	14	69	-3.098956
0	14	49	-3.367880
0	14	47	-3.660347
0	15	51	2.166461
0	15	8	2.082106
0	15	74	2.078869
0	15	61	1.415004
0	15	23	1.104071
0	15	18	1.092583
0	15	40	1.083933
0	15	39	1.010241
0	15	30	0.949783
0	15	28	0.923257
0	15	22	0.816039
0	15	3	0.762204
0	15	63	0.682285
0	15	48	0.561513
0	15	50	0.520256
0	15	54	0.472660
0	15	14	0.412567
0	15	27	0.379756
0	15	45	0.307294
0	15	42	0.215524
0	15	46	0.119338
0	15	55	-0.008164
0	15	25	-0.037275
0	15	57	-0.086335
0	15	38	-0.090534
0	15	56	-0.117700
