0	1	2	5.797795
0	1	9	5.667313
0	1	10	4.374230
0	1	14	4.283790
0	1	4	3.965374
0	1	19	3.639822
0	1	1	2.474069
0	1	6	2.473982
0	1	5	2.458048
0	1	0	0.658711
0	1	11	0.320279
0	1	12	-3.292439
0	1	7	-4.058832
0	1	8	-5.224557
0	1	15	-5.904820
0	1	3	-7.382264
0	1	18	-9.438559
0	1	16	-9.582292
0	1	13	-9.807561
0	1	17	-12.842408
0	2	9	6.592353
0	2	14	6.263200
0	2	5	5.890237
0	2	2	5.873248
0	2	4	5.609294
0	2	11	4.436338
0	2	10	3.282739
0	2	1	3.200471
0	2	0	0.562496
0	2	15	-0.918625
0	2	6	-2.197115
0	2	3	-2.233570
0	2	12	-4.163962
0	2	19	-4.387180
0	2	8	-7.300141
0	2	13	-8.282841
0	2	18	-9.198082
0	2	16	-9.747883
0	2	7	-10.833096
0	2	17	-12.347075
0	3	11	6.353628
0	3	4	6.105515
0	3	9	6.046489
0	3	14	5.737552
0	3	10	5.699601
0	3	2	5.692508
0	3	5	5.686557
0	3	1	4.166621
0	3	0	4.143179
0	3	19	3.425243
0	3	15	3.111363
0	3	12	1.318403
0	3	6	1.258730
0	3	7	-0.294095
0	3	13	-4.952516
0	3	3	-6.375134
0	3	8	-6.909026
0	3	18	-9.098955
0	3	16	-10.151577
0	3	17	-11.905939
0	4	11	5.665860
0	4	14	5.393992
0	4	10	4.969930
0	4	9	4.944457
0	4	2	3.496713
0	4	5	3.465075
0	4	4	3.088063
0	4	6	1.886820
0	4	15	0.631955
0	4	0	-1.266834
0	4	19	-3.637510
0	4	3	-4.772671
0	4	1	-5.407323
0	4	12	-6.033702
0	4	16	-7.705258
0	4	7	-7.874604
0	4	8	-8.776836
0	4	18	-9.465202
0	4	13	-10.142304
0	4	17	-12.536381
0	5	9	5.794454
0	5	4	5.584774
0	5	2	5.219310
0	5	6	4.185079
0	5	10	3.987756
0	5	14	3.055207
0	5	0	2.308540
0	5	5	2.152270
0	5	11	-0.455383
0	5	15	-0.667326
0	5	1	-1.337969
0	5	19	-1.508343
0	5	12	-1.660343
0	5	3	-3.178237
0	5	13	-5.479732
0	5	8	-6.091122
0	5	16	-8.982036
0	5	18	-9.043859
0	5	7	-10.601624
0	5	17	-12.200121
0	6	14	6.301274
0	6	10	4.476245
0	6	5	3.916965
0	6	2	0.092482
0	6	1	0.024036
0	6	3	-1.855573
0	6	15	-3.564549
0	6	13	-3.762044
0	6	11	-3.898468
0	6	0	-4.089376
0	6	19	-5.047490
0	6	7	-5.113407
0	6	9	-7.102838
0	6	4	-7.199312
0	6	8	-8.458498
0	6	12	-8.864298
0	6	16	-9.081444
0	6	18	-9.368780
0	6	6	-9.603490
0	6	17	-10.254438
0	7	19	3.072369
0	7	4	2.731479
0	7	14	2.682289
0	7	9	2.633720
0	7	15	2.433764
0	7	10	1.759550
0	7	8	1.011601
0	7	5	-0.100922
0	7	2	-0.168077
0	7	6	-0.584594
0	7	1	-2.516545
0	7	3	-2.725409
0	7	11	-3.293741
0	7	18	-8.105556
0	7	16	-8.810012
0	7	13	-8.842217
0	7	12	-8.856382
0	7	0	-9.875314
0	7	7	-11.143398
0	7	17	-11.918167
0	8	14	5.829883
0	8	8	5.358476
0	8	5	5.248464
0	8	11	4.942583
0	8	4	4.348586
0	8	2	4.179673
0	8	10	3.527574
0	8	9	3.394087
0	8	7	0.344623
0	8	1	-0.111574
0	8	19	-0.358028
0	8	0	-0.972789
0	8	15	-1.789411
0	8	6	-4.736668
0	8	3	-7.576993
0	8	18	-9.059174
0	8	16	-9.969191
0	8	12	-10.834270
0	8	13	-11.223701
0	8	17	-11.304802
0	9	10	6.497587
0	9	11	6.227252
0	9	4	6.182017
0	9	9	5.793031
0	9	5	5.648876
0	9	2	5.642211
0	9	14	5.625860
0	9	6	4.253050
0	9	1	3.999101
0	9	0	3.971868
0	9	12	3.706666
0	9	15	3.084023
0	9	7	0.333146
0	9	8	-0.285952
0	9	19	-1.434796
0	9	3	-7.282574
0	9	13	-7.494464
0	9	18	-8.981168
0	9	16	-10.180040
0	9	17	-12.355779
0	10	9	6.431756
0	10	14	5.508635
0	10	4	4.938782
0	10	1	4.451641
0	10	5	4.449063
0	10	6	2.892594
0	10	2	2.815014
0	10	0	1.149522
0	10	15	0.744002
0	10	11	-0.319533
0	10	12	-0.430485
0	10	10	-0.511369
0	10	3	-2.845612
0	10	13	-4.308392
0	10	19	-4.975540
0	10	8	-8.625131
0	10	18	-9.192163
0	10	16	-9.806205
0	10	7	-11.166459
0	10	17	-12.046362
0	11	10	6.795200
0	11	2	6.348594
0	11	11	6.205309
0	11	19	5.714807
0	11	14	5.701723
0	11	9	5.696505
0	11	5	5.451983
0	11	4	5.441416
0	11	7	3.276747
0	11	1	2.823458
0	11	15	0.469023
0	11	3	-1.337484
0	11	0	-1.683827
0	11	8	-2.331226
0	11	13	-3.333556
0	11	12	-3.694924
0	11	6	-8.302116
0	11	18	-8.676733
0	11	17	-9.588966
0	11	16	-10.080544
0	12	10	7.218744
0	12	5	6.742942
0	12	14	6.725806
0	12	6	5.491102
0	12	2	4.072921
0	12	4	3.777526
0	12	11	2.355606
0	12	19	1.279504
0	12	13	0.534177
0	12	15	0.278825
0	12	1	0.253378
0	12	9	-0.336936
0	12	0	-1.888171
0	12	3	-1.950615
0	12	7	-7.204505
0	12	18	-9.079219
0	12	8	-9.183827
0	12	16	-9.284201
0	12	12	-9.669525
0	12	17	-12.302896
0	13	11	6.496819
0	13	14	6.125696
0	13	5	5.898153
0	13	2	5.620121
0	13	8	5.584724
0	13	10	5.388622
0	13	9	4.730660
0	13	4	3.220584
0	13	7	2.295889
0	13	1	2.056626
0	13	19	1.392396
0	13	15	1.380027
0	13	0	0.400104
0	13	3	-1.532289
0	13	6	-1.721776
0	13	12	-7.277213
0	13	13	-8.780116
0	13	18	-8.986993
0	13	16	-9.572219
0	13	17	-10.791855
0	14	31	6.285602
