0	1	2	42.031494
0	1	9	37.855110
0	1	19	35.848785
0	1	8	30.716154
0	1	3	29.573233
0	1	10	28.209530
0	1	6	28.027851
0	1	1	27.576658
0	1	0	26.075609
0	1	11	25.558916
0	1	15	23.532530
0	1	5	21.646362
0	1	12	20.865633
0	1	14	20.177637
0	1	4	13.490220
0	1	18	10.199375
0	1	7	7.771008
0	1	17	5.342371
0	1	13	4.695045
0	1	16	-0.773433
0	2	3	62.601219
0	2	9	58.610222
0	2	5	49.923866
0	2	10	48.450325
0	2	2	41.149509
0	2	14	40.703472
0	2	1	39.621414
0	2	11	36.997955
0	2	15	34.266098
0	2	0	32.332073
0	2	4	26.469206
0	2	19	22.913095
0	2	12	22.147707
0	2	6	20.492125
0	2	8	20.308622
0	2	18	19.115881
0	2	17	11.589238
0	2	7	10.102623
0	2	13	8.919297
0	2	16	-0.022398
0	3	9	49.518055
0	3	10	45.889290
0	3	11	45.868710
0	3	5	45.813961
0	3	15	45.589550
0	3	6	44.133907
0	3	3	43.305073
0	3	2	41.470764
0	3	14	39.471889
0	3	19	35.579929
0	3	0	29.938187
0	3	4	25.491304
0	3	7	25.091110
0	3	18	21.149998
0	3	12	18.441458
0	3	1	18.184155
0	3	17	12.327422
0	3	8	12.066951
0	3	13	3.080348
0	3	16	0.456818
0	14	47	61.060783
0	14	3	58.083019
0	14	58	57.302998
0	14	54	55.582905
0	14	43	54.853573
0	14	52	54.725784
0	14	51	50.747322
0	14	26	48.330715
0	14	31	47.597149
0	14	72	46.490700
0	14	21	45.477722
0	14	27	45.256401
0	14	85	44.537601
0	14	22	43.457428
0	14	30	43.105743
0	14	32	41.615524
0	14	57	41.243095
0	14	37	40.967140
0	14	14	40.764431
0	14	29	38.118217
0	14	45	33.963310
0	14	63	30.546665
0	14	24	30.379488
0	14	56	28.988211
0	14	25	28.696720
0	14	28	27.800751
0	14	71	27.740944
0	14	42	27.452560
0	14	50	26.653175
0	14	48	26.332764
0	14	49	26.095844
0	14	65	25.316557
0	14	75	24.902943
0	14	53	23.420223
0	14	40	23.165081
0	14	79	22.377708
0	14	38	22.259960
0	14	36	21.966764
0	14	73	20.322664
0	14	23	19.774326
0	14	62	19.294212
0	14	35	18.725723
0	14	69	18.227503
0	14	66	17.740318
0	14	61	17.338308
0	14	46	17.003563
0	14	34	16.368191
0	14	64	15.514062
0	14	74	15.435476
0	14	33	12.191522
0	14	11	11.310674
0	14	39	9.560637
0	14	41	9.356121
0	14	77	8.416609
0	14	55	8.351860
0	14	18	8.320359
0	14	44	7.475247
0	14	8	7.437501
0	14	78	7.399260
0	14	70	6.583765
0	14	16	1.562127
0	14	76	1.537948
0	14	20	-1.352921
0	15	3	38.168777
0	15	58	37.166397
0	15	52	33.069115
0	15	22	27.075735
0	15	54	26.713276
0	15	21	25.174101
0	15	27	24.814964
0	15	57	24.662392
0	15	56	24.161448
0	15	47	23.749794
0	15	14	22.614834
0	15	30	21.750801
0	15	32	20.673414
0	15	63	18.898457
0	15	26	18.554424
0	15	51	17.993071
0	15	31	16.966257
0	15	45	16.818140
0	15	43	16.534519
