0	1	2	-240.980057
0	1	19	-249.970963
0	1	15	-250.294647
0	1	11	-251.808563
0	1	4	-253.724396
0	1	0	-255.512589
0	1	14	-256.186890
0	1	5	-257.087036
0	1	8	-258.907715
0	1	3	-259.285156
0	1	12	-262.128082
0	1	1	-262.735596
0	1	9	-277.212830
0	1	10	-277.813629
0	1	18	-281.451111
0	1	7	-284.374420
0	1	13	-291.479553
0	1	6	-292.685059
0	1	16	-326.702087
0	1	17	-340.017944
0	2	2	-232.277649
0	2	15	-238.232727
0	2	5	-239.661438
0	2	4	-240.721436
0	2	9	-244.896179
0	2	11	-246.458542
0	2	14	-247.201660
0	2	8	-248.063293
0	2	0	-252.422165
0	2	1	-253.061768
0	2	3	-255.685867
0	2	12	-269.543335
0	2	18	-295.784485
0	2	10	-301.455322
0	2	13	-306.023560
0	2	19	-308.988647
0	2	6	-314.823181
0	2	7	-325.857788
0	2	16	-328.843719
0	2	17	-343.758362
0	3	11	-222.088409
0	3	4	-224.494995
0	3	0	-234.000702
0	3	9	-235.321640
0	3	15	-236.616028
0	3	2	-237.515289
0	3	8	-238.817902
0	3	3	-239.136429
0	3	1	-243.014465
0	3	12	-244.158463
0	3	14	-247.517059
0	3	5	-247.963745
0	3	10	-248.614624
0	3	19	-255.127197
0	3	18	-263.043091
0	3	6	-288.376526
0	3	13	-299.713287
0	3	7	-316.216492
0	3	16	-332.121155
0	3	17	-340.506104
0	4	15	-227.869141
0	4	2	-229.175507
0	4	11	-230.707977
0	4	0	-236.067749
0	4	12	-238.057343
0	4	8	-239.779938
0	4	3	-239.855347
0	4	1	-246.404572
0	4	4	-248.936340
0	4	5	-257.490356
0	4	14	-260.468384
0	4	9	-272.498016
0	4	18	-273.432739
0	4	10	-295.403259
0	4	13	-306.480652
0	4	19	-313.023071
0	4	6	-317.928589
0	4	7	-322.449280
0	4	16	-327.613586
0	4	17	-342.562073
0	5	2	-233.831955
0	5	15	-238.621674
0	5	8	-240.538300
0	5	4	-244.771820
0	5	0	-245.316376
0	5	1	-245.679291
0	5	11	-251.556427
0	5	9	-253.939636
0	5	12	-258.411621
0	5	14	-259.338928
0	5	3	-260.438782
0	5	5	-264.078308
0	5	18	-272.734314
0	5	10	-275.763550
0	5	19	-280.768494
0	5	6	-288.337341
0	5	13	-297.630035
0	5	7	-315.805908
0	5	16	-330.181274
0	5	17	-339.893372
0	6	3	-243.539978
0	6	8	-247.834763
0	6	15	-249.149200
0	6	14	-253.935547
0	6	1	-256.034180
0	6	0	-265.608826
0	6	11	-268.165802
0	6	12	-277.830353
0	6	5	-281.995941
0	6	2	-284.017944
0	6	18	-304.737091
0	6	9	-305.781921
0	6	10	-315.781830
0	6	4	-316.307129
0	6	13	-321.037537
0	6	19	-323.597870
0	6	6	-328.804260
0	6	7	-332.612152
0	6	16	-335.958496
0	6	17	-355.223541
0	7	15	-236.499084
0	7	2	-259.063477
0	7	8	-259.450073
0	7	0	-260.971069
0	7	1	-261.311401
0	7	4	-262.291962
0	7	3	-264.356018
0	7	12	-266.011932
0	7	14	-275.255341
0	7	5	-275.497192
0	7	19	-275.958740
0	7	9	-277.498474
0	7	10	-281.515045
0	7	18	-292.038788
0	7	11	-309.749451
0	7	13	-321.949249
0	7	6	-330.232971
0	7	16	-344.559875
0	7	7	-346.639282
0	7	17	-352.132202
0	8	2	-238.453766
0	8	8	-248.891373
0	8	11	-250.803482
0	8	15	-251.201080
0	8	3	-251.247986
0	8	1	-254.856049
0	8	5	-258.539154
0	8	4	-262.142029
0	8	10	-266.119141
0	8	0	-266.959900
0	8	14	-272.790100
0	8	9	-278.262238
0	8	12	-281.590485
0	8	19	-282.798828
0	8	18	-300.233826
0	8	6	-304.616943
0	8	7	-326.337463
0	8	13	-339.261505
0	8	17	-346.013611
0	8	16	-346.043579
0	9	9	-234.865204
0	9	11	-240.803452
0	9	4	-243.150970
0	9	15	-245.030273
0	9	5	-246.411865
0	9	2	-247.962006
0	9	1	-248.992432
0	9	0	-252.471222
0	9	8	-254.746567
0	9	12	-257.949585
0	9	3	-263.474701
0	9	14	-265.517090
0	9	18	-285.988831
0	9	19	-294.521454
0	9	10	-297.721069
0	9	7	-317.086639
0	9	6	-330.905823
0	9	13	-333.812714
0	9	16	-340.059418
0	9	17	-349.406616
0	10	4	-227.168488
0	10	11	-228.985504
0	10	15	-237.944550
0	10	5	-239.127731
0	10	1	-245.485107
0	10	0	-248.122589
0	10	2	-250.135345
0	10	3	-250.518936
0	10	8	-252.868652
0	10	9	-255.011200
0	10	14	-259.798920
0	10	12	-260.302368
0	10	10	-293.161011
0	10	18	-296.425598
0	10	19	-309.220886
0	10	13	-311.727661
0	10	6	-315.268829
0	10	7	-331.232635
0	10	16	-340.443176
0	10	17	-355.163635
0	11	2	-253.571884
0	11	4	-259.000031
0	11	10	-261.202484
0	11	15	-261.539551
0	11	19	-267.094116
0	11	3	-273.379333
0	11	5	-273.737610
0	11	11	-274.141327
0	11	1	-277.128174
0	11	12	-282.161072
0	11	8	-284.818054
0	11	0	-284.945251
0	11	14	-288.715240
0	11	9	-292.691528
0	11	13	-317.740662
0	11	18	-325.480347
0	11	6	-335.460022
0	11	7	-338.278442
0	11	16	-342.213745
0	11	17	-344.527069
0	12	5	-222.025421
0	12	14	-225.332748
0	12	15	-233.671417
0	12	2	-237.402405
0	12	8	-246.522644
0	12	3	-253.799637
0	12	4	-254.636932
0	12	1	-263.740662
0	12	0	-263.932159
0	12	9	-281.721649
0	12	12	-282.887695
0	12	11	-285.111084
0	12	10	-288.413879
0	12	13	-293.460114
0	12	18	-306.888245
0	12	19	-310.185974
0	12	6	-314.581390
0	12	16	-331.194061
0	12	7	-331.353149
0	12	17	-348.559143
0	13	15	-232.012329
0	13	3	-240.143539
0	13	2	-240.600754
0	13	8	-243.941605
0	13	1	-250.567276
0	13	19	-255.872253
0	13	0	-257.063324
0	13	14	-263.165771
0	13	11	-265.168274
0	13	12	-266.473999
0	13	9	-267.495209
0	13	10	-267.766754
0	13	5	-282.434692
0	13	4	-288.180695
0	13	13	-291.490845
0	13	18	-293.764038
0	13	6	-303.586273
0	13	7	-326.707703
0	13	16	-330.324097
0	13	17	-342.532410
0	14	63	-232.154404
0	14	45	-243.029663
0	14	30	-245.600525
0	14	27	-256.161499
0	14	8	-256.335205
0	14	3	-261.959198
0	14	22	-262.495300
0	14	66	-262.941833
0	14	57	-265.352417
0	14	14	-267.619690
0	14	43	-269.883698
0	14	72	-273.109314
0	14	54	-276.895142
0	14	31	-277.518188
0	14	32	-278.142914
0	14	28	-280.623230
0	14	49	-281.169800
0	14	52	-281.343506
0	14	58	-281.712219
0	14	56	-285.876465
0	14	51	-288.927582
0	14	26	-289.655548
0	14	85	-291.916931
0	14	36	-292.993652
0	14	73	-293.240967
0	14	47	-293.365753
0	14	48	-295.647095
0	14	11	-296.506256
0	14	50	-297.713867
0	14	20	-298.063446
0	14	40	-298.198181
0	14	23	-301.080078
0	14	24	-301.271729
0	14	18	-302.524506
0	14	33	-304.164734
0	14	74	-306.015625
0	14	62	-307.414032
0	14	61	-309.718536
0	14	29	-311.038300
0	14	21	-311.759827
0	14	42	-315.031403
0	14	41	-315.384644
0	14	34	-318.360382
0	14	46	-318.735779
0	14	71	-319.352295
0	14	53	-320.146423
0	14	55	-321.629639
0	14	79	-323.137939
0	14	37	-323.254974
0	14	44	-324.173645
0	14	69	-324.257812
0	14	70	-326.049805
0	14	75	-326.273224
0	14	77	-326.532684
0	14	38	-326.649750
0	14	25	-326.748779
0	14	64	-326.888916
0	14	76	-327.786316
0	14	39	-327.933594
0	14	65	-328.684753
0	14	78	-330.978149
0	14	35	-332.539520
0	14	16	-332.715820
0	15	63	-240.760071
0	15	50	-244.449142
0	15	31	-248.497543
0	15	22	-249.352356
0	15	57	-250.470459
0	15	14	-252.695084
0	15	30	-257.584106
0	15	27	-260.063171
0	15	43	-261.433533
0	15	3	-261.593628
0	15	8	-263.270538
0	15	45	-263.375122
0	15	26	-265.157593
0	15	48	-270.034912
0	15	52	-270.512695
0	15	51	-271.011993
0	15	72	-271.231445
0	15	36	-272.678650
0	15	58	-274.063049
