0	1	2	29.246218
0	1	15	27.606293
0	1	1	24.621778
0	1	5	19.184324
0	1	11	18.134167
0	1	9	16.030148
0	1	4	15.436407
0	1	3	15.057509
0	1	10	14.936853
0	1	8	11.432700
0	1	7	10.313795
0	1	14	7.881564
0	1	6	6.388762
0	1	19	6.217771
0	1	18	5.484614
0	1	12	1.547167
0	1	0	0.781868
0	1	13	-6.276957
0	1	16	-16.019260
0	1	17	-17.600544
0	2	15	31.254875
0	2	1	26.270267
0	2	2	22.932606
0	2	5	21.032516
0	2	9	20.972157
0	2	8	9.383982
0	2	4	8.195672
0	2	11	7.231670
0	2	3	-0.175885
0	2	14	-6.386726
0	2	10	-7.862359
0	2	7	-9.602421
0	2	13	-11.559701
0	2	0	-13.341940
0	2	6	-15.391965
0	2	16	-16.359592
0	2	19	-17.471085
0	2	18	-18.671379
0	2	17	-19.431332
0	2	12	-19.583084
0	3	15	24.003809
0	3	1	22.200462
0	3	2	20.415142
0	3	10	14.438537
0	3	9	14.410589
0	3	5	11.524176
0	3	8	11.367297
0	3	4	8.533724
0	3	11	7.732303
0	3	3	5.825290
0	3	14	0.724582
0	3	0	-4.541772
0	3	6	-6.143453
0	3	13	-6.651918
0	3	16	-8.385190
0	3	7	-10.879077
0	3	12	-16.978321
0	3	19	-17.331398
0	3	17	-18.106768
0	3	18	-18.188223
0	14	46	29.463972
0	14	31	26.665279
0	14	30	23.665279
0	14	61	22.928913
0	14	26	22.415253
0	14	51	21.841629
0	14	65	20.730856
0	14	22	19.739105
0	14	25	18.544470
0	14	29	18.082600
0	14	27	17.619801
0	14	58	17.139940
0	14	45	16.692484
0	14	32	16.188383
0	14	43	15.382314
0	14	52	14.576265
0	14	37	13.923327
0	14	57	13.885888
0	14	11	11.873124
0	14	28	11.583758
0	14	20	11.439784
0	14	47	11.119773
0	14	42	10.781791
0	14	56	10.185186
0	14	63	10.079599
0	14	38	8.669656
0	14	8	7.951366
0	14	54	7.736713
0	14	23	7.728309
0	14	3	6.945981
0	14	40	6.032115
0	14	21	5.757046
0	14	48	5.371300
0	14	14	5.140432
0	14	41	4.086103
0	14	72	2.632385
0	14	85	1.576287
0	14	50	1.038031
0	14	69	0.140884
0	14	33	-2.197968
0	14	36	-2.706346
0	14	53	-4.891839
0	14	75	-5.018473
0	14	39	-5.840168
0	14	71	-7.316558
0	14	24	-7.710516
0	14	79	-7.988498
0	14	77	-12.007005
0	14	64	-13.092056
0	14	44	-13.990296
0	14	62	-14.184731
0	14	73	-14.625814
0	14	74	-14.831508
0	14	66	-15.236777
0	14	16	-15.544818
0	14	49	-15.750851
0	14	35	-16.484158
0	14	76	-16.827076
0	14	34	-17.208591
0	14	55	-17.680130
0	14	78	-18.220551
0	14	18	-18.382080
0	14	70	-19.319775
0	15	31	26.398916
0	15	46	19.608187
0	15	32	18.881607
0	15	22	18.443659
0	15	42	18.060383
0	15	30	17.894770
0	15	58	16.415926
0	15	61	16.191734
0	15	43	15.935695
0	15	26	14.873640
0	15	51	13.554235
0	15	29	13.420762
0	15	25	13.069715
0	15	37	12.819016
0	15	56	12.043186
0	15	23	10.890349
0	15	28	10.719655
0	15	8	10.146492
0	15	45	9.109295
0	15	63	8.803616
0	15	20	8.675543
0	15	52	8.484836
0	15	11	8.430505
0	15	57	8.304301
0	15	36	7.248168
0	15	54	6.882540
0	15	50	6.681069
0	15	27	6.274899
0	15	65	6.089330
0	15	21	5.442029
0	15	47	5.083241
0	15	14	4.265894
0	15	53	4.118278
0	15	48	3.573693
0	15	3	-0.913351
0	15	41	-3.131116
0	15	72	-4.783302
0	15	33	-4.887062
0	15	38	-4.947796
0	15	79	-5.008937
0	15	85	-6.017035
0	15	64	-8.638920
0	15	39	-8.980728
0	15	62	-9.456752
0	15	24	-10.132886
0	15	77	-10.377119
0	15	69	-10.511854
0	15	73	-10.559127
0	15	75	-10.589209
0	15	35	-10.980561
0	15	40	-12.244834
0	15	49	-12.747322
0	15	16	-14.253504
0	15	74	-14.287743
0	15	71	-14.789413
0	15	34	-15.219162
0	15	55	-15.609860
0	15	78	-16.253380
0	15	66	-17.305687
0	15	76	-17.324247
0	15	44	-18.462494
0	15	70	-19.715303
0	15	18	-20.154697
0	16	52	25.598557
0	16	26	25.571007
0	16	32	25.445372
0	16	61	24.112291
0	16	22	23.888477
0	16	43	21.951561
0	16	56	21.329571
0	16	51	21.165884
0	16	54	20.978779
0	16	31	20.507093
0	16	58	19.985188
0	16	25	18.939125
0	16	30	18.379984
0	16	63	18.368511
0	16	53	13.744864
0	16	28	13.527542
0	16	29	11.892787
0	16	45	9.448842
0	16	8	9.171035
0	16	20	9.016205
0	16	50	8.955001
0	16	57	7.293763
0	16	27	6.755895
0	16	46	6.688493
0	16	11	6.259080
0	16	21	5.754218
0	16	48	5.481628
0	16	47	4.907848
0	16	3	2.878421
0	16	37	1.016288
0	16	42	-0.489936
0	16	41	-1.815234
0	16	65	-8.535841
0	16	23	-8.695707
0	16	14	-9.477816
0	16	38	-11.415109
0	16	40	-13.577169
0	16	62	-14.265527
0	16	72	-14.446095
0	16	79	-15.264502
0	16	24	-15.442717
0	16	36	-15.710433
0	16	69	-16.432055
0	16	64	-16.687140
0	16	85	-16.871037
0	16	39	-17.066418
0	16	16	-17.556885
0	16	73	-17.753538
0	16	71	-18.123640
0	16	49	-18.266819
0	16	75	-18.747114
0	16	33	-18.951338
0	16	35	-19.197109
0	16	77	-19.234632
0	16	76	-19.853216
0	16	44	-20.001469
0	16	78	-20.172247
0	16	74	-20.463406
0	16	18	-20.720461
0	16	55	-20.984758
0	16	66	-21.219618
0	16	70	-21.307796
0	16	34	-21.416750
0	19	46	28.391888
0	19	61	26.441448
0	19	31	23.653719
0	19	30	22.843662
0	19	22	22.414110
0	19	32	18.686377
0	19	26	18.410225
0	19	51	18.119743
0	19	42	16.367508
0	19	29	15.441207
0	19	43	13.760419
0	19	52	13.453870
0	19	58	13.132387
0	19	8	11.340735
0	19	45	11.231083
0	19	63	11.040363
0	19	11	11.036577
0	19	57	10.585813
0	19	25	10.345076
0	19	54	10.167313
0	19	56	9.504359
0	19	23	8.726179
0	19	27	8.479618
0	19	65	8.298853
0	19	28	7.994820
0	19	37	6.316263
0	19	47	5.895364
0	19	24	5.542747
0	19	14	4.656892
0	19	41	4.465993
0	19	21	4.167472
0	19	72	3.958544
0	19	38	3.936496
0	19	48	3.869484
0	19	3	3.843073
0	19	20	3.401473
0	19	85	2.502764
0	19	36	0.637803
0	19	39	-0.942098
0	19	53	-1.711364
0	19	50	-3.595305
0	19	75	-4.705999
0	19	69	-4.730858
0	19	33	-4.826719
0	19	71	-4.845237
0	19	40	-6.335466
0	19	64	-8.745762
0	19	79	-11.310713
0	19	73	-12.435801
0	19	49	-12.501621
0	19	74	-13.337974
0	19	77	-14.004418
0	19	62	-14.092113
0	19	34	-14.159007
0	19	66	-14.176800
0	19	16	-14.420345
0	19	76	-14.721107
0	19	55	-14.875719
0	19	44	-15.424836
0	19	35	-15.918825
0	19	18	-16.112190
0	19	78	-18.128839
0	19	70	-18.688400
0	22	46	34.609783
0	22	32	33.664837
0	22	43	32.881428
0	22	58	32.475658
0	22	31	31.971817
0	22	22	30.424892
0	22	26	27.967871
0	22	52	27.864462
0	22	54	27.415169
0	22	53	27.305767
0	22	63	27.190226
0	22	61	26.844358
0	22	51	26.037998
0	22	42	23.694706
0	22	50	23.577024
0	22	56	20.124680
0	22	29	19.927412
0	22	30	18.736544
0	22	25	15.872766
0	22	36	15.499458
0	22	8	15.320886
0	22	37	14.647510
0	22	21	14.138330
0	22	20	13.640194
0	22	23	13.249481
0	22	28	12.975158
0	22	45	11.783744
0	22	57	11.078488
0	22	47	10.719116
0	22	11	10.579413
0	22	48	10.510843
0	22	27	9.032659
0	22	14	8.288513
0	22	41	7.261776
0	22	49	6.904058
0	22	3	5.915343
0	22	65	5.913781
0	22	24	3.081069
0	22	38	1.860148
0	22	72	1.775857
0	22	71	0.806023
0	22	40	0.727632
0	22	78	0.560873
0	22	64	0.147543
0	22	62	-0.402557
0	22	69	-0.715246
0	22	66	-0.752573
0	22	34	-1.780738
0	22	85	-2.191615
0	22	79	-4.165503
0	22	77	-5.950565
0	22	33	-6.272377
0	22	16	-6.361004
0	22	39	-6.547032
0	22	74	-7.073663
0	22	75	-7.388466
0	22	73	-8.050104
0	22	35	-9.670081
0	22	55	-10.498709
0	22	76	-15.504371
0	22	44	-16.863556
0	22	18	-18.189543
0	22	70	-18.341898
0	43	61	30.232779
0	43	99	25.826485
0	43	63	20.445190
0	43	52	20.008324
0	43	94	19.908348
0	43	26	18.785202
0	43	11	17.404905
0	43	105	17.307014
0	43	90	15.470020
0	43	86	13.673634
0	43	107	13.570234
0	43	91	13.568630
0	43	8	12.266945
0	43	92	11.776557
0	43	95	10.948036
0	43	58	9.489922
0	43	14	7.670366
0	43	108	7.191484
0	43	3	6.575860
0	43	103	6.529001
0	43	106	6.230857
0	43	89	4.887337
0	43	88	3.797454
0	43	93	3.546490
0	43	15	3.068396
0	43	100	2.118087
0	43	87	0.132523
0	43	85	-0.282712
0	43	98	-4.017655
0	43	96	-4.477676
0	43	110	-8.218719
0	43	13	-9.933516
0	43	97	-10.082877
0	43	69	-10.647815
0	43	109	-17.725878
0	43	17	-17.786552
0	43	18	-20.026201
0	44	15	32.272118
0	44	52	30.583784
0	44	99	30.355703
0	44	94	27.898142
0	44	63	27.600462
0	44	58	27.450426
0	44	96	26.894821
0	44	61	26.864613
0	44	95	25.604963
0	44	90	25.326191
0	44	93	24.678621
0	44	108	24.421160
0	44	97	24.399151
0	44	100	23.627302
0	44	110	22.019590
0	44	11	21.489298
0	44	89	20.572607
0	44	106	20.495609
0	44	26	19.663050
0	44	98	19.098238
0	44	91	17.095907
0	44	107	16.842514
0	44	86	16.622108
0	44	8	14.867415
0	44	92	13.616927
0	44	88	12.109459
0	44	14	11.228431
0	44	109	10.158639
0	44	3	9.938334
0	44	87	9.730971
0	44	103	7.049207
0	44	69	6.158742
0	44	13	5.081662
0	44	85	4.629603
0	44	105	1.136032
0	44	18	-4.291289
0	44	17	-14.793208
0	54	11	16.079819
0	54	8	11.663396
0	54	14	7.382502
0	54	7	6.090292
0	54	3	5.878954
0	54	111	-4.144156
0	54	13	-6.378436
0	54	18	-10.659970
0	54	16	-13.665992
0	54	17	-17.117428
0	57	8	10.721251
0	57	11	10.122074
0	57	14	7.716187
0	57	3	5.168688
0	57	13	1.937276
0	57	7	-1.862859
0	57	17	-8.003757
0	57	111	-8.004562
0	57	16	-8.845504
0	57	18	-10.581752
0	58	11	9.602418
0	58	8	7.589830
0	58	14	5.979270
0	58	3	-5.841363
0	58	7	-12.011096
0	58	13	-13.892247
0	58	111	-16.446009
0	58	16	-17.581606
0	58	18	-17.842573
0	58	17	-18.449436
0	73	157	25.809883
0	73	132	23.087511
0	73	150	21.300682
0	73	160	20.865330
0	73	151	19.172110
0	73	158	18.653170
0	73	168	18.559402
0	73	163	18.081717
0	73	154	17.950878
0	73	137	16.945442
0	73	155	16.708252
0	73	153	15.838241
0	73	161	15.740937
0	73	149	15.297116
0	73	11	14.282854
0	73	152	13.213664
0	73	170	12.349649
0	73	156	11.460363
0	73	169	11.166023
0	73	159	8.119869
0	73	162	7.914862
0	73	8	7.364827
0	73	14	4.433959
0	73	3	2.651713
0	73	13	2.516251
0	73	146	-2.123359
0	73	147	-3.178771
0	73	145	-4.227287
0	73	16	-7.532854
0	73	148	-11.073548
0	73	18	-13.485163
0	73	17	-13.960005
0	74	157	32.060112
0	74	151	31.527065
0	74	150	30.844534
0	74	160	28.180206
0	74	161	27.720894
0	74	168	26.991318
0	74	132	26.872618
0	74	152	26.057070
0	74	158	25.755211
0	74	154	25.414989
0	74	155	25.056400
0	74	137	24.818985
0	74	153	24.701658
0	74	163	23.764244
0	74	149	23.163336
0	74	11	22.248581
0	74	169	20.662716
0	74	170	18.764704
0	74	162	17.417418
0	74	159	17.119446
0	74	156	12.505445
0	74	8	11.868590
0	74	13	7.624869
0	74	14	7.081545
0	74	3	7.057540
0	74	146	1.137445
0	74	145	-2.531230
0	74	147	-2.972266
0	74	16	-9.892920
0	74	148	-12.183812
0	74	17	-12.602051
0	74	18	-14.200472
0	75	137	25.363321
0	75	160	24.818684
0	75	165	24.275974
0	75	128	23.696598
0	75	132	20.646572
0	75	11	19.568031
0	75	164	18.932297
0	75	167	16.679861
0	75	166	13.489935
0	75	171	12.872110
0	75	8	9.873106
0	75	14	9.638735
0	75	145	6.782593
0	75	147	6.484713
0	75	13	6.253438
0	75	3	6.028127
0	75	18	-2.821672
0	75	146	-3.877029
0	75	17	-6.129135
0	75	16	-6.977828
0	77	137	28.267477
0	77	128	27.288954
0	77	160	21.594431
0	77	11	18.872473
0	77	165	18.313723
0	77	132	15.291876
0	77	8	13.347873
0	77	13	13.247211
0	77	166	12.807525
0	77	164	12.113926
0	77	145	11.664691
0	77	18	11.407049
0	77	3	10.209065
0	77	167	9.294559
0	77	14	8.530431
0	77	147	6.452313
0	77	146	5.239379
0	77	171	4.216943
0	77	17	-1.228397
0	77	16	-3.428978
0	94	99	27.019991
0	94	116	26.716408
0	94	190	23.757601
0	94	201	23.090076
0	94	193	17.779732
0	94	51	17.742727
0	94	200	17.095575
0	94	8	12.592887
0	94	113	12.195312
0	94	63	11.776771
0	94	188	11.313753
0	94	194	11.183406
0	94	205	10.448287
0	94	207	9.915067
0	94	192	9.715036
0	94	206	9.454537
0	94	14	6.542544
0	94	202	5.485217
0	94	15	4.463066
