0	1	2	4.517910
0	1	5	3.857124
0	1	4	3.206520
0	1	1	1.690637
0	1	11	1.018104
0	1	15	0.351982
0	1	8	-0.830257
0	1	6	-1.440493
0	1	9	-2.658678
0	1	19	-2.745904
0	1	3	-3.517488
0	1	10	-3.914984
0	1	18	-6.882093
0	1	14	-8.440937
0	1	16	-10.394485
0	1	7	-10.781636
0	1	12	-12.124543
0	1	0	-12.824766
0	1	13	-14.125355
0	1	17	-14.808258
0	2	1	3.994454
0	2	5	3.711286
0	2	15	3.059363
0	2	14	1.467202
0	2	3	1.148331
0	2	2	0.373776
0	2	9	0.265927
0	2	4	-2.632792
0	2	6	-7.257878
0	2	8	-7.367940
0	2	10	-7.822074
0	2	18	-10.460953
0	2	11	-11.251554
0	2	7	-14.675089
0	2	13	-14.827713
0	2	12	-14.912999
0	2	0	-15.039776
0	2	19	-15.346959
0	2	16	-15.865606
0	2	17	-15.954613
0	3	4	4.380129
0	3	5	3.692379
0	3	11	3.548468
0	3	2	3.229041
0	3	1	2.635227
0	3	10	0.351194
0	3	6	0.157100
0	3	9	-0.592214
0	3	15	-1.552664
0	3	8	-3.994921
0	3	3	-7.762347
0	3	19	-9.725761
0	3	14	-10.573604
0	3	18	-10.694315
0	3	7	-11.141294
0	3	16	-12.210819
0	3	0	-12.579461
0	3	12	-13.216455
0	3	17	-13.752622
0	3	13	-14.875891
0	14	32	1.829274
0	14	31	1.487330
0	14	3	0.907217
0	14	43	0.833470
0	14	22	0.616596
0	14	45	0.484602
0	14	65	0.442249
0	14	37	0.393848
0	14	14	0.256863
0	14	52	0.218462
0	14	25	0.175644
0	14	63	0.096461
0	14	62	-0.147784
0	14	58	-0.421964
0	14	21	-0.536410
0	14	26	-0.538147
0	14	57	-0.555908
0	14	29	-0.560618
0	14	20	-1.565691
0	14	46	-1.885665
0	14	28	-2.342685
0	14	51	-2.527885
0	14	61	-3.716885
0	14	72	-4.602252
0	14	24	-4.723206
0	14	30	-5.229551
0	14	39	-5.714643
0	14	8	-5.756756
0	14	56	-5.900497
0	14	27	-6.526100
0	14	53	-7.777128
0	14	69	-8.025245
0	14	42	-8.026482
0	14	33	-8.650259
0	14	54	-8.658658
0	14	11	-8.737716
0	14	38	-8.995870
0	14	41	-9.307165
0	14	23	-9.405764
0	14	71	-9.498981
0	14	73	-9.699837
0	14	66	-10.776514
0	14	36	-10.783982
0	14	18	-10.945574
0	14	40	-11.286976
0	14	77	-11.314968
0	14	50	-11.985096
0	14	48	-12.776173
0	14	85	-13.129343
0	14	34	-13.204670
0	14	47	-13.209061
0	14	79	-13.713860
0	14	70	-13.719000
0	14	44	-14.109915
0	14	35	-14.131614
0	14	75	-14.330843
0	14	76	-14.378901
0	14	55	-14.465795
0	14	64	-14.507771
0	14	78	-14.531102
0	14	74	-14.730095
0	14	16	-15.648737
0	14	49	-15.685139
0	15	65	4.334960
0	15	62	4.260516
0	15	20	2.832085
0	15	37	2.553049
0	15	31	2.435074
0	15	69	2.245938
0	15	32	1.897793
0	15	43	1.721165
0	15	14	1.417133
0	15	58	1.257326
0	15	51	1.230888
0	15	45	1.079116
0	15	26	0.954515
0	15	63	0.840307
0	15	57	0.764780
0	15	52	0.480394
0	15	24	0.457090
0	15	25	0.383337
0	15	8	0.266785
0	15	21	0.242499
0	15	29	-0.182127
0	15	53	-0.289807
0	15	22	-0.411300
0	15	61	-0.449283
0	15	50	-0.648932
0	15	3	-1.869158
0	15	28	-1.991517
0	15	46	-2.130665
0	15	36	-2.764631
0	15	77	-2.963630
0	15	30	-3.238048
0	15	56	-4.872991
0	15	71	-5.077448
0	15	54	-5.087292
0	15	23	-5.493113
0	15	73	-5.505477
0	15	39	-6.352062
0	15	42	-6.612891
