0	1	2	9.822584
0	1	1	9.134923
0	1	18	8.945498
0	1	5	8.692032
0	1	9	5.539231
0	1	11	4.397309
0	1	14	4.278040
0	1	10	3.792989
0	1	15	1.082769
0	1	19	-0.272467
0	1	8	-1.024995
0	1	4	-3.188554
0	1	6	-3.802580
0	1	7	-4.954371
0	1	0	-7.089099
0	1	3	-7.915758
0	1	12	-8.297659
0	1	13	-8.765610
0	1	17	-9.148544
0	1	16	-10.341599
0	2	9	12.483083
0	2	5	11.521827
0	2	1	11.378328
0	2	2	5.230476
0	2	15	3.232513
0	2	8	3.195374
0	2	0	-1.168833
0	2	10	-3.198473
0	2	14	-3.766009
0	2	4	-4.936486
0	2	7	-5.352487
0	2	3	-5.360374
0	2	11	-6.453040
0	2	6	-7.352093
0	2	12	-7.549432
0	2	18	-7.590659
0	2	13	-8.989611
0	2	19	-9.401196
0	2	16	-10.378543
0	2	17	-10.595547
0	3	9	11.398281
0	3	1	10.786760
0	3	5	10.629884
0	3	2	9.440968
0	3	15	9.362950
0	3	10	8.072306
0	3	18	7.126558
0	3	11	6.768501
0	3	4	6.077560
0	3	14	0.919446
0	3	8	-1.060740
0	3	12	-2.937843
0	3	0	-3.528267
0	3	7	-4.325908
0	3	6	-5.637921
0	3	3	-7.173710
0	3	19	-8.813695
0	3	13	-9.439415
0	3	17	-10.305752
0	3	16	-10.452816
0	14	31	13.430102
0	14	63	13.085954
0	14	26	11.498485
0	14	22	11.417184
0	14	57	11.085489
0	14	32	10.699523
0	14	27	10.458365
0	14	29	9.496025
0	14	61	9.356674
0	14	37	9.139332
0	14	65	8.908872
0	14	21	8.757198
0	14	3	8.526873
0	14	46	8.368942
0	14	54	5.973425
0	14	52	5.964552
0	14	43	5.633630
0	14	56	5.435787
0	14	69	5.383573
0	14	48	4.377890
0	14	23	3.881234
0	14	53	3.625765
0	14	45	3.406961
0	14	28	2.908840
0	14	24	2.382810
0	14	8	1.115334
0	14	25	1.061603
0	14	71	-0.234332
0	14	73	-0.270845
0	14	38	-0.626127
0	14	40	-0.907990
0	14	30	-1.866982
0	14	51	-1.938381
0	14	20	-2.704102
0	14	14	-4.177257
0	14	58	-4.542026
0	14	42	-4.571087
0	14	47	-4.950755
0	14	33	-5.009370
0	14	75	-5.063545
0	14	39	-5.195168
0	14	66	-6.072659
0	14	50	-6.075709
0	14	11	-6.270649
0	14	76	-6.458570
0	14	62	-6.545473
0	14	64	-6.785152
0	14	85	-6.892518
0	14	36	-7.165093
0	14	18	-7.415796
0	14	70	-7.674358
0	14	34	-7.762788
0	14	44	-7.999816
0	14	77	-8.019002
0	14	55	-8.079939
0	14	35	-8.198161
0	14	41	-8.541666
0	14	49	-8.735160
0	14	74	-8.815317
0	14	72	-8.822502
