0	1	2	0.279300
0	1	8	0.259008
0	1	14	-0.216752
0	1	10	-0.269956
0	1	9	-0.281724
0	1	0	-0.321092
0	1	6	-0.379362
0	1	15	-0.786941
0	1	5	-0.839245
0	1	19	-0.962858
0	1	11	-1.005587
0	1	12	-1.054462
0	1	3	-1.139490
0	1	1	-1.343495
0	1	16	-1.882644
0	1	7	-1.927897
0	1	18	-2.727423
0	1	13	-2.831401
0	1	4	-3.086209
0	1	17	-4.001236
0	2	8	0.247660
0	2	2	-0.458137
0	2	6	-0.575205
0	2	10	-0.692877
0	2	9	-0.697278
0	2	5	-0.720766
0	2	0	-0.907493
0	2	15	-1.212178
0	2	12	-1.258464
0	2	14	-1.424769
0	2	11	-1.543952
0	2	19	-1.756639
0	2	1	-1.969230
0	2	3	-2.037308
0	2	7	-2.446642
0	2	13	-3.472551
0	2	18	-3.594264
0	2	16	-3.715348
0	2	17	-4.575107
0	2	4	-4.603623
0	3	8	1.651169
0	3	10	0.990401
0	3	15	0.976737
0	3	2	0.322683
0	3	9	0.304256
0	3	6	0.086360
0	3	5	0.036561
0	3	3	0.015790
0	3	14	0.001423
0	3	0	-0.154231
0	3	19	-0.227030
0	3	1	-0.525672
0	3	12	-0.737432
0	3	18	-1.266629
0	3	11	-1.637057
0	3	16	-2.026335
0	3	13	-2.420479
0	3	7	-3.088598
0	3	17	-3.122135
0	3	4	-3.508192
0	4	15	1.507886
0	4	8	1.421599
0	4	2	0.668095
0	4	14	0.238976
0	4	10	-0.063260
0	4	9	-0.244604
0	4	6	-0.260364
0	4	3	-0.467294
0	4	19	-0.506624
0	4	5	-0.610769
0	4	12	-0.783966
0	4	0	-0.857897
0	4	1	-0.864664
0	4	18	-1.362793
0	4	11	-1.935559
0	4	13	-2.332980
0	4	16	-2.487070
0	4	17	-2.721562
0	4	7	-3.119527
0	4	4	-3.778298
0	5	14	0.445977
0	5	2	0.374365
0	5	6	-0.102278
0	5	9	-0.559312
0	5	10	-0.615266
0	5	11	-0.796232
0	5	15	-0.846805
0	5	5	-0.880846
0	5	0	-0.900960
0	5	3	-0.976878
0	5	8	-1.042988
0	5	12	-1.047678
0	5	1	-1.550960
0	5	19	-1.678277
0	5	7	-1.679129
0	5	16	-1.867761
0	5	18	-3.016857
0	5	4	-3.031842
0	5	13	-3.292974
0	5	17	-3.751184
0	6	14	1.064240
0	6	2	0.693803
0	6	15	0.631673
0	6	5	0.549405
0	6	10	0.483774
0	6	3	0.421538
0	6	9	0.369590
0	6	6	0.327946
0	6	12	-0.012306
0	6	8	-0.019914
0	6	19	-0.078849
0	6	11	-0.164123
0	6	1	-0.260874
0	6	0	-0.305938
0	6	16	-0.718749
0	6	18	-0.802744
0	6	17	-0.807948
0	6	4	-0.845428
0	6	13	-1.087212
0	6	7	-1.711929
0	7	15	1.226132
0	7	8	0.802297
0	7	2	0.512108
0	7	14	0.299252
0	7	10	0.215633
0	7	9	0.173803
0	7	3	0.009564
0	7	6	-0.146432
0	7	19	-0.185804
0	7	5	-0.192085
0	7	0	-0.329577
0	7	1	-0.423267
0	7	12	-0.427051
0	7	18	-0.618174
0	7	11	-1.223177
0	7	16	-1.236696
0	7	17	-1.336764
0	7	13	-1.676180
0	7	7	-1.796305
0	7	4	-2.049746
0	8	8	1.014685
0	8	2	0.696479
0	8	14	0.584903
0	8	10	-0.054165
0	8	9	-0.137694
0	8	6	-0.339589
0	8	15	-0.792894
0	8	3	-1.055069
0	8	0	-1.266303
0	8	5	-1.323342
0	8	11	-1.331823
0	8	19	-1.589698
0	8	12	-2.061165
0	8	1	-2.079618
0	8	16	-3.382839
0	8	7	-4.063454
0	8	18	-5.268852
0	8	13	-5.649977
0	8	4	-6.358067
0	8	17	-6.793608
0	9	8	1.089005
0	9	9	0.156778
0	9	0	-0.269168
0	9	2	-0.275772
0	9	10	-0.345119
0	9	15	-0.962470
0	9	6	-1.357160
0	9	5	-1.552377
0	9	11	-1.565618
0	9	19	-1.732062
0	9	1	-1.856054
0	9	12	-2.364216
0	9	14	-2.727641
0	9	3	-3.218967
0	9	16	-3.532468
0	9	7	-3.627478
0	9	13	-4.344437
0	9	18	-4.496387
0	9	17	-5.167674
0	9	4	-5.196243
0	10	8	0.793727
0	10	9	-0.190285
0	10	2	-0.534497
0	10	10	-0.725151
0	10	15	-0.782407
0	10	5	-0.828364
0	10	11	-0.840947
0	10	0	-1.000596
0	10	6	-1.196237
0	10	12	-1.485575
0	10	1	-1.485709
0	10	19	-1.619468
0	10	14	-1.630210
0	10	7	-2.225699
0	10	3	-2.358722
0	10	13	-2.510701
0	10	18	-3.269588
0	10	16	-3.553123
0	10	17	-3.709200
0	10	4	-4.157790
0	11	2	0.414840
0	11	8	0.322836
0	11	10	0.063639
0	11	9	-0.080745
0	11	6	-0.289395
0	11	15	-0.404147
0	11	0	-0.421328
0	11	11	-0.745668
0	11	14	-1.005789
0	11	5	-1.268058
0	11	19	-1.449887
0	11	1	-1.509274
0	11	3	-1.781931
0	11	12	-2.316525
0	11	16	-2.589575
0	11	7	-3.347206
0	11	18	-3.805638
0	11	13	-3.990647
0	11	4	-4.199267
0	11	17	-5.159598
0	12	6	0.073476
0	12	2	-0.085875
0	12	10	-0.154932
0	12	9	-0.495544
0	12	8	-0.509261
0	12	5	-0.549951
0	12	0	-0.567904
0	12	11	-0.621224
0	12	14	-0.701616
0	12	12	-0.748211
0	12	15	-0.937474
0	12	3	-0.991387
