0	1	2	0.107880
0	1	14	0.015290
0	1	0	-0.240876
0	1	7	-0.274196
0	1	3	-0.600205
0	1	8	-0.600853
0	1	1	-0.618875
0	1	6	-0.863022
0	1	10	-0.886181
0	1	5	-1.039394
0	1	9	-1.105152
0	1	11	-1.120676
0	1	15	-1.391176
0	1	12	-1.677763
0	1	19	-1.849003
0	1	4	-2.161575
0	1	16	-2.178521
0	1	18	-2.179379
0	1	17	-3.653676
0	1	13	-3.802909
0	2	8	-0.073832
0	2	0	-0.169566
0	2	7	-0.561391
0	2	2	-0.623057
0	2	3	-0.700966
0	2	1	-0.922890
0	2	10	-0.998007
0	2	9	-1.441677
0	2	5	-1.745685
0	2	11	-1.747777
0	2	14	-1.790916
0	2	6	-1.794944
0	2	12	-2.082674
0	2	15	-2.085980
0	2	19	-2.692663
0	2	18	-3.142823
0	2	16	-3.325652
0	2	4	-3.448522
0	2	13	-5.138275
0	2	17	-5.494988
0	3	8	0.719388
0	3	0	0.340704
0	3	15	0.245048
0	3	3	0.239798
0	3	10	0.191100
0	3	18	0.160223
0	3	1	0.157262
0	3	14	0.055877
0	3	9	-0.062870
0	3	6	-0.074296
0	3	2	-0.202421
0	3	5	-0.266812
0	3	12	-0.384047
0	3	19	-0.440209
0	3	11	-1.102388
0	3	7	-1.271568
0	3	4	-1.330666
0	3	13	-1.557590
0	3	16	-1.633881
0	3	17	-1.808337
0	14	30	2.046988
0	14	56	1.255159
0	14	23	1.157094
0	14	55	0.979566
0	14	21	0.922225
0	14	22	0.788927
0	14	39	0.784544
0	14	63	0.687556
0	14	78	0.673777
0	14	61	0.585382
0	14	51	0.542901
0	14	64	0.508403
0	14	40	0.398176
0	14	50	0.355765
0	14	77	0.317109
0	14	45	0.286894
0	14	34	0.236879
0	14	66	0.188078
0	14	14	0.101355
0	14	27	0.035560
0	14	26	0.027087
0	14	25	0.021248
0	14	32	-0.024309
0	14	53	-0.068093
0	14	37	-0.219632
0	14	31	-0.236813
0	14	3	-0.273238
0	14	57	-0.277050
0	14	54	-0.284483
0	14	62	-0.313345
0	14	36	-0.373553
0	14	42	-0.403778
0	14	74	-0.462852
0	14	52	-0.480933
0	14	43	-0.488981
0	14	48	-0.607216
0	14	65	-0.637279
0	14	8	-0.653979
0	14	71	-0.709583
0	14	72	-0.864236
0	14	58	-1.024773
0	14	20	-1.042089
0	14	28	-1.131814
0	14	85	-1.155452
0	14	11	-1.178503
0	14	38	-1.184388
0	14	73	-1.215017
0	14	76	-1.312642
0	14	46	-1.328114
0	14	75	-1.384307
0	14	79	-1.417311
0	14	33	-1.435944
0	14	49	-1.540584
0	14	44	-1.557841
0	14	70	-1.618505
0	14	29	-1.688816
0	14	16	-1.743982
0	14	35	-1.771156
0	14	24	-1.873476
0	14	41	-1.879247
0	14	47	-1.983111
0	14	18	-1.992497
0	14	69	-2.369345
0	15	30	1.096212
0	15	56	0.762636
0	15	23	0.739741
0	15	55	0.632914
0	15	63	0.572343
0	15	39	0.538282
0	15	22	0.440537
0	15	61	0.414397
0	15	21	0.405141
0	15	45	0.363252
0	15	51	0.339136
0	15	78	0.333907
0	15	77	0.326631
0	15	50	0.319761
0	15	27	0.292289
0	15	34	0.162789
0	15	40	0.114070
0	15	74	0.104142
0	15	32	0.101553
0	15	66	0.065612
0	15	53	0.062487
0	15	54	0.026695
0	15	25	0.011672
0	15	62	0.005808
0	15	64	0.000173
0	15	37	-0.009889
0	15	26	-0.030542
0	15	57	-0.033566
0	15	14	-0.053777
0	15	3	-0.079971
0	15	8	-0.080748
0	15	43	-0.127131
0	15	52	-0.132347
0	15	31	-0.164415
0	15	65	-0.171735
0	15	48	-0.206187
0	15	28	-0.223117
0	15	36	-0.292424
0	15	42	-0.334333
0	15	72	-0.406100
0	15	46	-0.415940
0	15	58	-0.450807
0	15	71	-0.532998
