0	1	2	2.065616
0	1	1	1.885688
0	1	3	1.696007
0	1	9	1.679155
0	1	15	1.585790
0	1	19	1.549018
0	1	10	1.477244
0	1	14	1.293885
0	1	6	1.193346
0	1	5	1.057649
0	1	11	0.381199
0	1	0	-0.149611
0	1	4	-0.963548
0	1	8	-1.998873
0	1	12	-2.022866
0	1	7	-2.893619
0	1	18	-3.223990
0	1	16	-3.404038
0	1	13	-3.423809
0	1	17	-4.604223
0	2	2	2.148322
0	2	5	2.131852
0	2	1	2.063397
0	2	3	1.967512
0	2	15	1.940257
0	2	9	1.848740
0	2	10	1.619557
0	2	4	0.840013
0	2	14	0.556645
0	2	8	-0.368688
0	2	11	-0.387902
0	2	19	-2.895839
0	2	13	-3.172907
0	2	6	-3.294920
0	2	18	-3.365346
0	2	16	-3.531813
0	2	12	-3.705061
0	2	7	-3.818674
0	2	0	-4.168263
0	2	17	-4.421966
0	3	1	1.953384
0	3	15	1.833798
0	3	9	1.759869
0	3	10	1.707919
0	3	0	1.560193
0	3	5	1.548614
0	3	3	1.357248
0	3	2	1.346883
0	3	4	0.788220
0	3	19	0.784165
0	3	12	0.736793
0	3	6	-0.380096
0	3	11	-1.528952
0	3	14	-1.857022
0	3	18	-2.875064
0	3	8	-3.473555
0	3	7	-4.076263
0	3	13	-4.264947
0	3	17	-4.446476
0	3	16	-4.528589
0	14	48	2.608839
0	14	27	2.293279
0	14	28	2.175952
0	14	45	2.126322
0	14	31	2.115688
0	14	43	2.102491
0	14	22	2.033637
0	14	3	1.908162
0	14	26	1.905032
0	14	72	1.889211
0	14	30	1.871252
0	14	56	1.861251
0	14	57	1.841603
0	14	63	1.823263
0	14	32	1.783568
0	14	36	1.761725
0	14	21	1.748463
0	14	85	1.618872
0	14	58	1.595616
0	14	52	1.594326
0	14	51	1.546828
0	14	47	1.467512
0	14	54	1.456801
0	14	66	1.441775
0	14	46	1.350638
0	14	14	1.276664
0	14	61	1.157831
0	14	79	1.108453
0	14	74	1.100685
0	14	42	0.885430
0	14	29	0.781700
0	14	50	0.615876
0	14	37	0.540944
0	14	8	-0.216168
0	14	49	-0.424324
0	14	33	-0.578959
0	14	40	-0.802214
0	14	34	-1.115524
0	14	25	-1.200261
0	14	53	-1.309301
0	14	39	-1.882485
0	14	41	-2.852524
0	14	73	-2.874158
0	14	55	-2.879020
0	14	16	-2.886973
0	14	23	-2.942775
0	14	62	-2.980085
0	14	78	-3.181154
0	14	18	-3.219898
0	14	69	-3.273560
0	14	77	-3.290922
0	14	20	-3.334839
0	14	71	-3.345290
0	14	24	-3.415228
0	14	35	-3.488386
0	14	75	-3.492661
0	14	76	-3.542177
0	14	44	-3.570469
0	14	38	-3.579818
0	14	11	-3.634729
0	14	70	-3.693110
0	14	64	-3.806110
0	14	65	-3.952683
0	15	31	2.398848
0	15	43	2.319599
0	15	32	2.001902
0	15	28	1.964891
0	15	22	1.844068
0	15	57	1.804919
0	15	51	1.779116
0	15	36	1.769080
0	15	63	1.753950
0	15	50	1.753608
0	15	3	1.737042
0	15	52	1.723470
0	15	56	1.719961
0	15	42	1.700765
0	15	14	1.656015
0	15	58	1.652635
0	15	48	1.575341
0	15	26	1.570980
0	15	30	1.465892
0	15	54	1.461086
0	15	27	1.408321
0	15	45	1.315642
0	15	61	1.306788
0	15	37	1.111119
0	15	53	0.886148
0	15	72	0.870275
0	15	21	0.832481
0	15	46	0.818224
0	15	66	0.654159
0	15	74	0.532338
0	15	85	0.344864
0	15	47	-0.509792
0	15	16	-1.093074
0	15	39	-1.273051
0	15	34	-1.323506
0	15	79	-1.445096
0	15	25	-1.787703
0	15	49	-2.075988
0	15	33	-2.124326
0	15	23	-2.394437
0	15	8	-2.870501
0	15	73	-2.879667
0	15	41	-2.953881
0	15	40	-3.010059
0	15	18	-3.023695
0	15	55	-3.309310
0	15	20	-3.332582
0	15	24	-3.517799
0	15	71	-3.536333
0	15	38	-3.665087
0	15	75	-3.713762
0	15	64	-3.722368
0	15	77	-3.752782
0	15	62	-3.764969
0	15	69	-3.849915
0	15	78	-3.943767
0	15	29	-3.954803
0	15	35	-4.050825
0	15	11	-4.153018
0	15	76	-4.235321
0	15	65	-4.314246
0	15	44	-4.382883
0	15	70	-4.432577
0	16	53	3.235648
0	16	56	3.214591
0	16	58	3.066680
0	16	43	3.032058
0	16	51	2.988893
0	16	63	2.910024
0	16	32	2.907022
0	16	21	2.836981
0	16	54	2.678524
0	16	28	2.586782
0	16	26	2.574651
0	16	30	2.517220
0	16	52	2.500323
0	16	31	2.481925
0	16	3	2.374173
0	16	22	2.177001
0	16	45	2.084660
0	16	25	1.850374
0	16	57	1.701949
0	16	27	1.602529
0	16	42	1.470452
0	16	36	1.467973
0	16	50	0.826462
0	16	72	0.686264
0	16	48	0.297476
0	16	79	-0.623639
0	16	34	-0.738352
0	16	14	-1.415498
0	16	37	-2.203063
0	16	29	-2.519676
0	16	74	-2.621686
0	16	46	-2.712648
0	16	66	-2.936759
0	16	8	-2.942805
0	16	39	-2.959311
0	16	47	-3.015291
0	16	35	-3.026094
0	16	23	-3.048343
0	16	61	-3.102988
0	16	85	-3.217269
0	16	49	-3.337795
0	16	41	-3.424503
0	16	18	-3.496187
0	16	38	-3.498166
0	16	73	-3.501129
0	16	20	-3.648775
0	16	55	-3.658185
0	16	33	-3.660480
0	16	76	-3.746857
0	16	24	-3.765319
0	16	40	-3.836116
0	16	11	-3.917242
0	16	77	-3.994148
0	16	78	-4.029980
0	16	44	-4.056815
