0	1	2	0.988985
0	1	10	-0.037476
0	1	14	-0.178469
0	1	0	-1.471503
0	1	11	-1.586483
0	1	1	-1.674519
0	1	18	-1.980889
0	1	6	-2.305351
0	1	16	-2.702775
0	1	5	-2.823745
0	1	15	-2.935087
0	1	8	-3.386469
0	1	12	-3.467966
0	1	7	-3.578376
0	1	4	-3.784107
0	1	9	-4.018264
0	1	3	-4.751920
0	1	19	-4.945083
0	1	13	-5.733479
0	1	17	-8.840226
0	2	8	1.453940
0	2	3	0.841928
0	2	10	0.196367
0	2	1	-0.359007
0	2	7	-0.743829
0	2	15	-2.847027
0	2	11	-3.490580
0	2	0	-3.727141
0	2	6	-3.773133
0	2	14	-3.851592
0	2	5	-4.126637
0	2	2	-4.367122
0	2	12	-5.056671
0	2	18	-5.653991
0	2	4	-6.479247
0	2	19	-6.919686
0	2	9	-7.423781
0	2	13	-7.678703
0	2	17	-10.292259
0	2	16	-11.808013
0	3	1	4.076535
0	3	10	4.044011
0	3	3	3.635610
0	3	15	2.597466
0	3	14	2.403322
0	3	8	2.217230
0	3	18	1.048076
0	3	5	0.256956
0	3	13	-0.084289
0	3	6	-0.736090
0	3	19	-1.071951
0	3	2	-1.637193
0	3	12	-1.663298
0	3	11	-1.990769
0	3	7	-3.080694
0	3	4	-3.742745
0	3	0	-3.897453
0	3	16	-3.988855
0	3	9	-4.513293
0	3	17	-5.398848
0	14	21	4.569260
0	14	63	3.457723
0	14	31	3.426340
0	14	57	3.003167
0	14	78	2.691444
0	14	51	2.363397
0	14	28	2.031772
0	14	43	1.525616
0	14	61	1.408604
0	14	25	1.372753
0	14	58	1.137406
0	14	76	1.045452
0	14	50	1.024170
0	14	56	0.947592
0	14	54	0.901964
0	14	23	0.762379
0	14	39	0.696051
0	14	14	0.483832
0	14	41	0.437970
0	14	30	0.402569
0	14	42	0.235282
0	14	38	0.101228
0	14	20	0.062824
0	14	29	-0.173490
0	14	65	-0.177821
0	14	24	-0.190297
0	14	71	-0.333308
0	14	26	-0.456990
0	14	52	-0.532830
0	14	62	-0.686166
0	14	48	-0.780613
0	14	3	-0.847613
0	14	40	-0.898909
0	14	32	-0.937959
0	14	44	-1.010298
0	14	53	-1.119260
0	14	18	-1.167642
0	14	22	-1.313304
0	14	27	-1.536840
0	14	64	-1.696524
0	14	37	-1.705504
0	14	70	-1.759253
0	14	8	-1.775510
0	14	47	-1.913888
0	14	75	-2.176379
0	14	74	-2.652279
0	14	55	-2.679330
0	14	36	-2.919057
0	14	46	-2.920956
0	14	69	-3.292750
0	14	35	-3.343841
0	14	79	-3.562803
0	14	66	-3.797478
0	14	45	-3.987099
0	14	73	-4.059996
0	14	11	-4.214135
0	14	72	-4.545293
0	14	34	-4.860693
0	14	77	-5.157518
0	14	49	-5.364854
0	14	33	-5.778093
0	14	16	-5.853715
0	14	85	-6.414641
0	15	21	5.733485
0	15	57	3.675794
0	15	31	3.119701
0	15	28	3.023984
0	15	63	2.948080
0	15	20	2.464066
0	15	56	2.194086
0	15	78	2.151989
0	15	25	2.118829
0	15	22	1.993203
0	15	51	1.956329
0	15	52	1.948537
0	15	61	1.641506
0	15	26	1.493477
0	15	32	1.302121
0	15	54	1.291745
0	15	27	1.213724
0	15	8	1.207262
0	15	50	0.986793
0	15	48	0.641108
0	15	65	0.498968
0	15	3	0.302523
0	15	58	0.249576
0	15	42	0.200486
0	15	43	0.173071
0	15	46	-0.156409
0	15	30	-0.276239
0	15	53	-0.327003
0	15	47	-0.423961
0	15	24	-0.489742
0	15	38	-0.633846
0	15	23	-0.679468
0	15	62	-0.862369
0	15	40	-0.931801
0	15	74	-1.185698
0	15	35	-1.189911
0	15	37	-1.627579
0	15	64	-2.033305
0	15	39	-2.122070
0	15	71	-2.312067
0	15	76	-2.341447
0	15	18	-2.344976
0	15	29	-3.169510
0	15	45	-3.797308
0	15	55	-3.977023
0	15	79	-4.150776
0	15	77	-4.196376
0	15	41	-4.267317
0	15	69	-4.361645
0	15	66	-4.516230
0	15	34	-4.729641
0	15	14	-4.772126
0	15	75	-4.856275
0	15	73	-4.861016
0	15	72	-4.951808
0	15	85	-5.004014
0	15	36	-5.167989
0	15	70	-5.409165
0	15	44	-5.410561
0	15	16	-5.507056
0	15	49	-5.716495
0	15	33	-5.890223
0	15	11	-6.583287
0	16	63	8.445713
0	16	51	7.193366
0	16	58	6.560706
0	16	21	6.532250
0	16	43	6.445502
0	16	25	6.086668
0	16	56	5.993855
0	16	22	4.690661
0	16	23	4.228435
0	16	30	4.061688
0	16	31	4.025973
0	16	20	4.017196
0	16	28	3.915522
0	16	26	3.716687
0	16	27	3.704837
0	16	78	3.677310
0	16	32	2.658697
0	16	39	2.644130
0	16	47	2.545706
0	16	50	2.455660
0	16	61	2.187334
0	16	52	2.030978
0	16	57	1.634492
0	16	40	1.287047
0	16	64	1.169788
0	16	62	0.386497
0	16	55	-0.115230
0	16	37	-0.476623
0	16	16	-0.562651
0	16	35	-1.015264
0	16	74	-1.017360
0	16	53	-1.186258
0	16	54	-1.263131
0	16	42	-1.466873
0	16	38	-1.621471
0	16	46	-1.631484
0	16	77	-2.073530
0	16	24	-2.210032
0	16	3	-2.375677
0	16	66	-2.741749
0	16	48	-3.927266
0	16	36	-3.978215
0	16	72	-4.420432
0	16	34	-4.731218
0	16	14	-4.795136
0	16	8	-4.939975
0	16	45	-6.538328
0	16	85	-6.557388
0	16	41	-6.922338
0	16	71	-7.562116
0	16	65	-7.622245
0	16	73	-7.947105
0	16	11	-7.957386
0	16	75	-8.756210
0	16	79	-8.828172
0	16	29	-10.176846
0	16	69	-10.968813
0	16	49	-11.344227
0	16	18	-11.700830
0	16	76	-11.868795
0	16	33	-12.095802
0	16	44	-13.639894
0	16	70	-15.587990
0	19	63	4.039677
0	19	21	3.572930
0	19	31	3.129157
0	19	51	2.541293
0	19	23	2.081036
0	19	57	2.043309
0	19	14	2.009623
0	19	39	2.000099
0	19	3	1.825289
0	19	50	1.565192
0	19	28	1.417343
0	19	32	1.228300
0	19	29	1.212664
0	19	58	1.190864
0	19	61	1.135505
0	19	54	0.860682
0	19	30	0.779456
0	19	25	0.695373
0	19	27	0.272808
0	19	38	0.256882
0	19	40	0.242856
0	19	47	0.232700
0	19	65	0.146918
0	19	56	0.065431
0	19	78	0.040304
0	19	43	-0.000229
0	19	26	-0.016712
0	19	48	-0.091496
0	19	18	-0.099373
0	19	42	-0.132979
0	19	45	-0.326653
0	19	62	-0.550942
0	19	55	-0.551661
0	19	53	-0.568622
0	19	22	-0.640466
0	19	37	-0.687127
0	19	66	-0.775156
0	19	71	-0.855857
0	19	74	-0.961683
0	19	41	-1.069009
0	19	34	-1.120788
0	19	76	-1.129139
0	19	36	-1.182017
0	19	52	-1.185083
0	19	46	-1.240142
0	19	8	-1.329652
0	19	35	-1.467076
0	19	24	-1.583164
0	19	72	-1.635436
0	19	85	-1.647610
0	19	20	-1.700521
0	19	79	-1.705815
0	19	64	-1.835816
0	19	16	-1.930292
0	19	69	-2.062990
0	19	33	-2.066964
0	19	77	-2.242984
0	19	11	-2.323136
0	19	75	-2.359851
0	19	70	-2.400914
0	19	73	-2.673078
0	19	44	-2.771816
0	19	49	-3.790118
0	22	21	4.985466
0	22	43	4.406149
0	22	51	4.388709
0	22	63	4.183532
0	22	40	4.137700
0	22	58	4.049872
0	22	31	3.752888
0	22	20	3.722082
0	22	28	3.483385
0	22	50	2.940957
0	22	38	2.935284
0	22	53	2.905304
0	22	22	2.744032
0	22	52	2.688911
0	22	37	2.670351
0	22	30	2.447997
0	22	32	2.229118
0	22	78	2.179168
0	22	55	2.050563
0	22	27	1.976469
0	22	25	1.909682
0	22	56	1.807627
0	22	57	1.696485
0	22	14	1.410506
0	22	64	1.197863
0	22	47	1.184682
0	22	26	1.117615
0	22	8	1.038796
0	22	54	0.834386
0	22	3	0.749089
0	22	62	0.563912
0	22	23	0.499854
0	22	42	0.403314
0	22	46	0.230605
0	22	41	-0.388128
0	22	35	-0.889898
0	22	66	-0.920130
0	22	39	-1.057431
0	22	61	-1.227228
0	22	74	-1.562959
0	22	24	-1.591843
0	22	71	-1.687875
0	22	16	-1.703647
0	22	34	-1.773633
0	22	18	-1.976510
0	22	77	-2.131111
0	22	48	-2.266596
0	22	36	-2.799061
0	22	72	-3.463094
0	22	79	-3.665994
0	22	45	-3.676201
0	22	65	-3.693885
0	22	11	-4.252416
0	22	85	-4.971751
0	22	49	-5.092525
0	22	69	-5.570360
0	22	29	-5.570841
0	22	73	-5.843127
0	22	75	-6.565676
0	22	76	-6.818883
0	22	44	-7.836807
0	22	33	-7.903020
0	22	70	-9.324460
0	43	103	5.779864
0	43	108	4.890020
0	43	14	2.900521
0	43	110	2.149205
0	43	11	1.806412
0	43	3	1.173244
0	43	105	0.481689
0	43	97	-0.070425
0	43	107	-0.489429
0	43	13	-0.721331
0	43	98	-0.831932
0	43	91	-0.842301
0	43	8	-1.005157
0	43	100	-1.489517
0	43	95	-1.666472
0	43	26	-1.940611
0	43	69	-2.111094
0	43	86	-2.440289
0	43	94	-2.455284
0	43	92	-2.489515
0	43	90	-2.749351
0	43	93	-2.862389
0	43	61	-2.865686
0	43	15	-3.168787
0	43	87	-3.832986
0	43	106	-3.895046
0	43	52	-3.911103
0	43	109	-3.980386
0	43	58	-4.379133
0	43	99	-4.530664
0	43	85	-4.702966
0	43	96	-4.962621
0	43	88	-5.230095
0	43	18	-6.057498
0	43	63	-7.368133
0	43	89	-8.460850
0	43	17	-9.759867
0	44	14	3.168420
0	44	103	2.848128
0	44	95	2.254682
0	44	109	2.100791
0	44	94	1.883858
0	44	18	1.702278
0	44	108	1.469782
0	44	87	1.450791
0	44	15	1.387116
0	44	105	1.070787
0	44	11	0.812442
0	44	100	0.650874
0	44	3	0.629389
0	44	86	0.505321
0	44	69	0.462128
0	44	106	0.417799
0	44	92	0.186042
0	44	63	0.121094
0	44	90	0.079012
0	44	91	-0.026250
0	44	61	-0.081802
0	44	97	-0.503070
0	44	8	-0.681322
0	44	93	-0.823356
0	44	107	-0.872435
0	44	98	-0.930842
0	44	110	-1.158747
0	44	58	-1.275198
0	44	52	-1.348065
0	44	88	-1.458810
0	44	13	-1.470730
0	44	96	-1.836932
0	44	85	-2.021973
0	44	99	-2.190149
0	44	26	-2.531754
0	44	89	-2.541691
0	44	17	-4.430103
0	54	8	3.602161
0	54	14	-0.412420
0	54	11	-0.809584
0	54	111	-1.987953
0	54	3	-3.411291
0	54	18	-3.879333
0	54	13	-4.130447
0	54	7	-4.230995
0	54	17	-9.350028
0	54	16	-12.396276
0	57	14	5.125707
0	57	3	3.594081
0	57	11	3.451999
0	57	13	1.356367
0	57	111	0.678088
0	57	18	-0.999222
0	57	16	-1.517831
0	57	8	-2.038073
0	57	7	-2.744746
0	57	17	-2.970742
0	58	18	2.008317
0	58	8	0.013206
0	58	14	-0.658443
0	58	11	-2.897981
0	58	13	-3.817787
0	58	17	-4.907269
0	58	3	-5.172022
0	58	111	-5.307036
0	58	16	-8.015074
0	58	7	-10.388367
0	73	159	7.074745
0	73	149	5.409343
0	73	163	5.405295
0	73	169	4.952216
0	73	132	2.461845
0	73	152	2.132661
0	73	161	1.871198
0	73	150	1.068800
0	73	137	0.826896
0	73	157	0.219938
0	73	8	0.039695
0	73	3	-0.210614
0	73	155	-0.751989
0	73	158	-0.812094
0	73	151	-0.814063
0	73	153	-1.002812
0	73	162	-1.693183
0	73	156	-2.365139
0	73	154	-2.708903
0	73	160	-3.248779
0	73	18	-3.261621
0	73	168	-3.552299
0	73	11	-3.704824
0	73	170	-3.763887
0	73	14	-4.222021
0	73	148	-4.380305
0	73	146	-4.980655
0	73	147	-6.351596
0	73	17	-7.643977
0	73	13	-8.227679
0	73	145	-8.847264
0	73	16	-10.674475
0	74	157	4.566873
0	74	169	4.175397
0	74	149	4.143550
0	74	158	3.246626
0	74	8	3.168879
0	74	159	2.371536
0	74	3	1.967286
0	74	163	1.838543
0	74	161	1.363125
0	74	150	1.258488
0	74	154	0.463094
0	74	137	0.374150
0	74	132	-0.324270
0	74	152	-0.376788
0	74	160	-0.473488
0	74	153	-0.677291
0	74	156	-1.071669
0	74	162	-1.271087
0	74	145	-2.379760
0	74	151	-2.764091
0	74	155	-2.958097
0	74	170	-3.632149
0	74	14	-3.771739
0	74	146	-4.050696
0	74	17	-4.087381
0	74	18	-4.289297
0	74	168	-4.443642
0	74	147	-4.514470
0	74	11	-8.313281
0	74	13	-8.313472
0	74	148	-8.525171
0	74	16	-13.564941
0	75	3	2.937053
0	75	137	2.552448
0	75	167	2.399258
0	75	171	2.398842
0	75	128	2.360444
0	75	8	2.021639
0	75	166	0.484823
0	75	145	0.433414
0	75	164	0.286740
0	75	160	0.032726
0	75	146	-0.667941
0	75	132	-1.013108
0	75	147	-1.746153
0	75	11	-2.396305
0	75	17	-2.919052
0	75	165	-2.929402
0	75	16	-4.529917
0	75	13	-5.166871
0	75	14	-5.241349
0	75	18	-7.274630
0	77	171	1.938248
0	77	137	1.938128
0	77	132	1.454325
0	77	160	1.056067
0	77	8	0.890142
0	77	167	0.866299
0	77	164	0.796675
0	77	128	0.609796
0	77	3	0.396545
0	77	146	0.016870
0	77	166	-0.075969
0	77	165	-0.531224
0	77	13	-0.756792
0	77	147	-1.112217
0	77	11	-1.261535
0	77	145	-1.275340
0	77	17	-2.195239
0	77	18	-2.416558
0	77	14	-2.586206
0	77	16	-4.558522
0	94	116	3.214773
0	94	113	3.096584
0	94	187	2.533141
0	94	192	2.169543
0	94	63	1.809517
0	94	203	1.677343
0	94	14	1.379642
0	94	15	1.004370
0	94	188	-0.496079
0	94	207	-0.559576
0	94	3	-0.592442
0	94	196	-0.592909
0	94	204	-0.630121
0	94	190	-0.788231
0	94	8	-0.889311
0	94	217	-1.170955
0	94	194	-1.262658
0	94	99	-1.973205
0	94	198	-2.130652
0	94	195	-2.372948
0	94	200	-2.668980
0	94	191	-2.783504
0	94	193	-2.819028
0	94	202	-2.860818
0	94	189	-2.995741
0	94	209	-3.094131
0	94	206	-3.282759
0	94	199	-3.309537
0	94	51	-3.317137
0	94	122	-3.598408
0	94	18	-4.020381
0	94	205	-4.067696
0	94	210	-4.099582
0	94	212	-4.607909
0	94	13	-5.578340
0	94	201	-5.669359
0	94	197	-6.648853
0	94	208	-7.173373
0	94	126	-7.595950
0	94	109	-7.888669
0	94	17	-9.096881
0	94	16	-10.391376
0	95	192	3.302418
0	95	15	2.255416
0	95	116	1.805777
0	95	51	1.732530
0	95	193	1.021263
0	95	8	0.968589
0	95	203	0.862136
0	95	3	0.749328
0	95	63	0.279138
0	95	196	0.011158
0	95	194	-0.082677
0	95	200	-0.161966
0	95	187	-0.300399
0	95	18	-0.630978
0	95	188	-0.712161
0	95	113	-0.945292
0	95	189	-1.112145
0	95	122	-1.146045
0	95	202	-1.221165
0	95	14	-1.225950
0	95	201	-1.284132
0	95	126	-1.595626
0	95	207	-1.752136
0	95	190	-1.755361
0	95	206	-1.824925
0	95	99	-1.846043
0	95	195	-2.019912
0	95	209	-2.422822
0	95	205	-2.560561
0	95	109	-2.637027
0	95	198	-2.906895
0	95	208	-3.233417
0	95	13	-3.413419
0	95	212	-3.462549
0	95	217	-3.510407
0	95	210	-3.878310
0	95	204	-4.116560
0	95	199	-4.733964
0	95	191	-4.794393
0	95	17	-5.080928
0	95	197	-5.100347
0	95	16	-6.076649
0	96	116	4.706421
0	96	203	4.598478
0	96	192	4.438008
0	96	3	3.894770
0	96	187	3.824894
0	96	63	1.906194
0	96	204	1.862622
0	96	113	0.959237
0	96	190	0.692595
0	96	189	0.268718
0	96	202	0.224898
0	96	207	-0.147914
0	96	209	-0.219587
0	96	15	-0.335501
0	96	205	-0.494212
0	96	212	-0.778923
0	96	195	-0.791806
0	96	188	-1.346058
0	96	196	-1.845129
0	96	198	-2.107786
0	96	14	-2.757027
0	96	8	-2.843078
0	96	51	-3.234027
0	96	99	-3.783311
0	96	206	-3.796939
0	96	191	-3.822934
0	96	210	-4.187797
0	96	200	-4.468437
0	96	194	-4.588012
0	96	17	-4.682806
0	96	217	-4.721116
0	96	126	-5.472076
0	96	122	-5.688383
0	96	13	-5.771527
0	96	193	-5.950789
0	96	201	-6.130096
0	96	208	-6.166718
0	96	109	-6.700376
0	96	199	-7.499225
0	96	16	-8.422869
0	96	18	-9.469583
0	96	197	-10.430718
0	99	192	3.359067
0	99	126	3.210626
0	99	3	2.847608
0	99	18	2.362204
0	99	14	1.910577
0	99	116	1.885030
0	99	51	1.653926
