0	1	2	9.359592
0	1	9	7.342515
0	1	19	7.243443
0	1	11	7.003730
0	1	14	6.890508
0	1	4	6.062812
0	1	5	5.849495
0	1	7	5.528741
0	1	15	5.524998
0	1	1	5.499271
0	1	6	4.985400
0	1	12	4.338533
0	1	13	2.778484
0	1	0	2.117434
0	1	8	1.574334
0	1	10	-2.414363
0	1	3	-6.524952
0	1	16	-9.973553
0	1	18	-10.236201
0	1	17	-11.404447
0	2	9	14.150206
0	2	5	12.724844
0	2	1	12.108494
0	2	4	10.783161
0	2	2	10.112509
0	2	14	8.855414
0	2	11	5.926939
0	2	12	2.793913
0	2	10	2.424169
0	2	0	2.137460
0	2	8	1.920735
0	2	6	1.472837
0	2	3	1.271983
0	2	13	-0.946781
0	2	15	-5.346531
0	2	19	-5.685607
0	2	18	-5.758996
0	2	7	-11.520931
0	2	16	-11.939728
0	2	17	-12.238302
0	3	9	12.143861
0	3	1	11.669816
0	3	12	11.558811
0	3	11	11.482636
0	3	4	11.317103
0	3	0	9.172371
0	3	14	8.623175
0	3	2	8.047910
0	3	10	7.653948
0	3	5	7.632358
0	3	6	7.284953
0	3	19	5.837243
0	3	15	5.441525
0	3	8	-1.992737
0	3	13	-2.929935
0	3	18	-4.723530
0	3	3	-5.796264
0	3	16	-10.828845
0	3	7	-11.257578
0	3	17	-11.375326
0	4	1	11.187712
0	4	12	10.317819
0	4	2	9.693340
0	4	9	5.621631
0	4	4	4.890335
0	4	11	4.169480
0	4	5	3.154131
0	4	19	2.246112
0	4	10	1.858638
0	4	15	1.521868
0	4	8	-1.959675
0	4	13	-3.794521
0	4	0	-4.841382
0	4	14	-5.539652
0	4	6	-10.768329
0	4	18	-10.811351
0	4	3	-11.220005
0	4	7	-11.432944
0	4	16	-11.907155
0	4	17	-12.711397
0	5	1	8.183035
0	5	2	7.535561
0	5	9	6.336613
0	5	4	0.554917
0	5	0	0.076542
0	5	5	-2.488732
0	5	17	-2.627603
0	5	6	-2.958164
0	5	13	-3.366521
0	5	18	-4.668887
0	5	14	-4.706605
0	5	11	-4.769730
0	5	10	-6.956787
0	5	8	-7.566809
0	5	19	-8.260970
0	5	15	-8.768193
0	5	12	-8.880478
0	5	3	-9.237578
0	5	7	-10.597230
0	5	16	-10.962808
0	6	1	8.697110
0	6	14	6.024472
0	6	13	1.306793
0	6	10	0.767538
0	6	12	0.338622
0	6	8	0.229662
0	6	11	-0.976639
0	6	3	-1.029034
0	6	5	-2.373189
0	6	19	-2.557396
0	6	4	-2.723415
0	6	2	-3.513650
0	6	9	-4.036522
0	6	6	-8.759618
0	6	7	-9.136086
0	6	0	-9.553247
0	6	15	-9.636354
0	6	18	-9.670946
0	6	16	-11.407930
0	6	17	-12.154992
0	7	12	11.552371
0	7	19	11.263521
0	7	15	10.883100
0	7	1	10.239508
0	7	0	9.290707
0	7	2	9.244571
0	7	10	8.380248
0	7	4	7.935977
0	7	9	7.212713
0	7	5	6.986554
0	7	6	2.574334
0	7	18	2.079036
0	7	8	-0.241698
0	7	11	-0.839351
0	7	3	-2.205450
0	7	16	-2.367548
0	7	14	-3.923024
0	7	13	-4.193488
0	7	17	-4.387077
0	7	7	-10.888350
0	8	1	7.446203
0	8	11	6.926464
0	8	5	6.658765
0	8	2	6.149433
0	8	9	6.049792
0	8	10	5.474887
0	8	14	4.869685
0	8	19	4.309829
0	8	4	4.301685
0	8	6	2.716208
0	8	0	-0.360914
0	8	12	-0.797460
0	8	3	-1.548754
0	8	13	-2.850717
0	8	8	-3.484616
0	8	15	-4.404916
0	8	18	-9.303066
0	8	7	-10.911427
0	8	17	-11.600633
0	8	16	-11.696465
0	9	9	11.942187
0	9	11	10.347030
0	9	5	8.938402
0	9	1	8.661119
0	9	4	7.463207
0	9	14	4.992621
0	9	12	4.379615
0	9	19	3.828447
0	9	2	2.608069
0	9	0	-0.652189
0	9	10	-0.731858
0	9	6	-1.449549
0	9	8	-3.250118
0	9	13	-4.700614
0	9	15	-5.444100
0	9	3	-10.132677
0	9	7	-10.640190
0	9	17	-11.139124
0	9	16	-11.219414
0	9	18	-11.289248
0	10	9	12.014919
0	10	1	11.224787
0	10	4	10.883827
0	10	5	9.565128
0	10	6	6.247638
0	10	11	5.543639
0	10	12	4.764393
0	10	19	4.685534
0	10	14	1.920592
0	10	10	1.136741
0	10	2	0.949940
0	10	8	-0.449929
0	10	15	-0.769791
0	10	0	-1.961002
0	10	13	-3.147650
0	10	3	-7.024869
0	10	18	-10.611728
0	10	7	-11.316031
0	10	16	-11.380788
0	10	17	-11.873232
0	11	2	11.357336
0	11	5	10.070635
0	11	19	9.801405
0	11	10	9.063129
0	11	1	8.210244
0	11	4	7.231046
0	11	9	6.301301
0	11	11	5.574805
0	11	12	3.696193
0	11	15	2.531640
0	11	3	-2.574888
0	11	14	-3.284547
0	11	13	-4.501015
0	11	8	-4.884079
0	11	18	-5.667456
0	11	0	-8.816957
0	11	6	-9.619399
0	11	16	-10.738902
0	11	17	-11.154596
0	11	7	-11.286435
0	12	5	12.924521
0	12	14	12.016199
0	12	2	6.833328
0	12	10	6.824926
0	12	13	6.009753
0	12	1	4.359681
0	12	4	3.886407
0	12	6	3.419205
0	12	8	1.582430
0	12	15	-0.735163
0	12	9	-3.012846
0	12	19	-4.746336
0	12	3	-5.783226
0	12	11	-8.496846
0	12	12	-10.798128
0	12	7	-11.312814
0	12	0	-11.474034
0	12	17	-11.791736
0	12	16	-11.987178
0	12	18	-12.161036
0	13	3	6.599831
0	13	11	6.512918
0	13	2	6.053897
0	13	1	4.341351
0	13	6	2.095990
0	13	12	1.806533
0	13	5	0.768518
0	13	0	-0.163189
0	13	10	-0.349022
0	13	15	-0.571190
0	13	13	-1.848030
0	13	8	-2.386878
0	13	19	-2.912965
0	13	9	-4.920599
0	13	4	-5.270793
0	13	14	-5.414554
0	13	18	-8.157783
0	13	16	-9.430120
0	13	7	-11.416297
0	13	17	-11.941124
0	14	63	10.952203
0	14	27	9.049222
0	14	43	7.267902
0	14	45	6.698422
0	14	58	5.649011
0	14	31	5.498638
0	14	49	5.240292
0	14	28	5.188038
0	14	36	4.919378
0	14	54	4.915365
0	14	26	4.648617
0	14	72	4.277282
0	14	32	4.186278
0	14	48	3.991887
0	14	66	3.850208
0	14	57	3.828847
0	14	22	3.754447
0	14	85	3.433729
0	14	51	3.003980
0	14	56	2.905428
0	14	52	2.465543
0	14	53	2.194854
0	14	29	2.093815
0	14	47	1.495630
0	14	14	1.378853
0	14	34	1.132958
