0	1	2	1.977067
0	1	8	1.916153
0	1	10	1.905968
0	1	11	0.494942
0	1	15	0.177533
0	1	0	0.058277
0	1	14	-0.109294
0	1	1	-0.257414
0	1	9	-0.697075
0	1	5	-0.761073
0	1	3	-1.022887
0	1	18	-1.174555
0	1	19	-3.426903
0	1	4	-4.044417
0	1	6	-4.059577
0	1	7	-5.067998
0	1	12	-5.863969
0	1	13	-5.909267
0	1	16	-6.143869
0	1	17	-10.511600
0	2	0	1.188632
0	2	8	0.699473
0	2	1	-0.461410
0	2	7	-0.596172
0	2	3	-0.731028
0	2	11	-1.730109
0	2	2	-2.582545
0	2	5	-2.728824
0	2	14	-3.559009
0	2	9	-3.635915
0	2	10	-3.760695
0	2	12	-5.354168
0	2	18	-5.429635
0	2	6	-5.568298
0	2	4	-5.823613
0	2	19	-7.108048
0	2	15	-8.575792
0	2	13	-11.055632
0	2	16	-14.235909
0	2	17	-14.483660
0	3	1	3.278303
0	3	3	1.954415
0	3	8	1.498381
0	3	10	1.494949
0	3	5	0.668726
0	3	15	0.510803
0	3	18	0.324996
0	3	19	-0.793614
0	3	14	-1.052560
0	3	4	-1.243255
0	3	0	-1.299820
0	3	2	-1.552096
0	3	6	-1.786364
0	3	12	-1.929554
0	3	13	-2.440856
0	3	11	-2.581858
0	3	9	-2.683207
0	3	17	-3.984223
0	3	7	-4.959560
0	3	16	-5.617016
0	14	75	1.920118
0	14	77	1.572731
0	14	42	1.571824
0	14	23	1.245081
0	14	21	1.239294
0	14	45	1.234696
0	14	39	1.069502
0	14	65	1.010784
0	14	56	0.937822
0	14	26	0.914578
0	14	48	0.899085
0	14	14	0.894464
0	14	25	0.804493
0	14	71	0.733564
0	14	51	0.705554
0	14	78	0.694947
0	14	50	0.608175
0	14	76	0.582031
0	14	73	0.534648
0	14	43	0.477923
0	14	11	0.454156
0	14	61	0.296381
0	14	40	0.268505
0	14	79	0.203309
0	14	55	0.202431
0	14	53	0.174372
0	14	31	0.165720
0	14	57	0.145422
0	14	63	0.083003
0	14	36	0.074453
0	14	64	-0.099498
0	14	66	-0.135443
0	14	34	-0.155423
0	14	22	-0.156536
0	14	8	-0.267851
0	14	37	-0.268355
0	14	32	-0.278101
0	14	62	-0.279902
0	14	41	-0.312790
0	14	3	-0.320883
0	14	70	-0.368255
0	14	29	-0.429901
0	14	44	-0.468976
0	14	30	-0.544692
0	14	74	-0.635362
0	14	28	-0.658838
0	14	54	-0.708262
0	14	33	-0.730804
0	14	38	-0.829068
0	14	69	-0.932381
0	14	85	-0.988560
0	14	27	-1.122532
0	14	58	-1.122598
0	14	52	-1.260547
0	14	72	-1.683247
0	14	49	-1.939916
0	14	20	-2.018293
0	14	46	-2.310452
0	14	24	-2.700606
0	14	47	-2.929309
0	14	18	-3.058043
0	14	35	-3.086091
0	14	16	-4.095772
0	15	51	1.923675
0	15	74	1.599588
0	15	63	1.583748
0	15	26	1.339285
0	15	28	1.223084
0	15	43	1.135153
0	15	50	1.110276
0	15	23	0.992848
0	15	22	0.971127
0	15	8	0.813546
0	15	56	0.762848
0	15	39	0.638480
0	15	52	0.614068
0	15	25	0.608627
0	15	55	0.493383
0	15	58	0.444803
0	15	78	0.444063
0	15	3	0.441705
0	15	20	0.393682
0	15	37	0.281665
0	15	42	0.257359
0	15	21	0.144215
0	15	46	0.142608
0	15	32	0.140780
0	15	18	0.065885
0	15	45	0.035828
0	15	61	0.010226
0	15	57	-0.003930
0	15	77	-0.056849
0	15	27	-0.151634
0	15	62	-0.178709
0	15	30	-0.184712
0	15	31	-0.230439
0	15	14	-0.301527
0	15	48	-0.346847
0	15	40	-0.356347
0	15	35	-0.396475
0	15	36	-0.398261
0	15	65	-0.420672
0	15	54	-0.456789
0	15	64	-0.514852
0	15	66	-0.591590
0	15	72	-0.717439
0	15	53	-0.767136
0	15	85	-1.000181
0	15	38	-1.028524
0	15	76	-1.107795
0	15	29	-1.309621
0	15	47	-1.368839
0	15	41	-1.570775
0	15	70	-1.623002
0	15	73	-1.624315
0	15	71	-1.890595
0	15	79	-1.908307
0	15	44	-1.914413
0	15	34	-2.067774
0	15	24	-2.236224
0	15	16	-2.246792
0	15	75	-2.278909
0	15	49	-2.281955
0	15	11	-2.308136
0	15	33	-2.585848
0	15	69	-2.927885
0	16	51	3.973794
0	16	23	3.475813
0	16	26	3.445206
0	16	25	3.242681
0	16	32	2.723487
0	16	39	2.663136
0	16	22	1.948022
0	16	58	1.705645
0	16	74	1.335151
0	16	52	1.308183
0	16	36	1.262970
0	16	50	1.234946
0	16	43	1.172316
0	16	56	0.973603
0	16	61	0.942101
0	16	78	0.919454
0	16	77	0.755173
0	16	63	0.696441
0	16	20	0.687774
0	16	31	0.591750
0	16	3	0.502957
0	16	21	0.502880
0	16	45	0.445014
0	16	27	0.322974
0	16	42	0.270495
0	16	55	0.050101
0	16	37	0.038168
0	16	85	-0.044125
0	16	75	-0.073497
0	16	73	-0.088767
0	16	62	-0.094564
0	16	40	-0.101621
0	16	57	-0.350909
0	16	8	-0.437132
0	16	53	-0.457288
0	16	66	-0.737562
0	16	28	-0.738065
0	16	48	-0.842600
0	16	41	-0.884661
0	16	46	-1.034605
0	16	11	-1.108583
0	16	79	-1.122445
0	16	64	-1.123961
0	16	47	-1.459552
0	16	71	-1.478330
0	16	14	-1.500455
0	16	34	-1.564773
0	16	54	-1.587349
0	16	30	-1.600855
0	16	65	-1.751579
0	16	33	-1.790064
0	16	76	-1.800171
