0	1	2	7.694624
0	1	11	7.388259
0	1	19	7.090966
0	1	9	6.371481
0	1	6	5.844914
0	1	4	5.449566
0	1	0	5.169096
0	1	12	4.049346
0	1	5	3.700610
0	1	1	3.398374
0	1	10	2.710537
0	1	15	2.439850
0	1	14	1.925777
0	1	7	0.323207
0	1	8	-0.321577
0	1	18	-2.426000
0	1	3	-3.550349
0	1	17	-6.228796
0	1	13	-6.534085
0	1	16	-7.141239
0	2	9	8.559891
0	2	4	7.310173
0	2	1	6.382149
0	2	0	6.214349
0	2	2	6.069794
0	2	5	5.930438
0	2	15	5.513353
0	2	11	4.662804
0	2	12	4.610112
0	2	14	4.378073
0	2	6	2.329156
0	2	10	1.450040
0	2	19	-0.103046
0	2	3	-0.266848
0	2	8	-1.060273
0	2	7	-1.074007
0	2	18	-2.210136
0	2	16	-7.008900
0	2	17	-7.795943
0	2	13	-8.236582
0	3	9	7.798591
0	3	4	7.600031
0	3	11	7.329922
0	3	0	7.327391
0	3	15	6.547562
0	3	10	6.443594
0	3	2	6.370958
0	3	6	6.175037
0	3	5	6.038781
0	3	12	5.915229
0	3	1	5.492701
0	3	14	5.081048
0	3	19	4.718916
0	3	3	1.091321
0	3	8	-0.651208
0	3	18	-2.262787
0	3	7	-3.745028
0	3	17	-3.799277
0	3	16	-7.451798
0	3	13	-7.557710
0	4	15	6.785449
0	4	0	6.303983
0	4	9	6.266130
0	4	2	5.691404
0	4	12	5.602519
0	4	4	5.124085
0	4	14	4.647403
0	4	11	4.287781
0	4	1	2.669211
0	4	8	1.914011
0	4	7	1.767012
0	4	10	1.568961
0	4	6	1.366384
0	4	5	1.303135
0	4	18	0.769708
0	4	19	-0.409843
0	4	3	-2.076885
0	4	13	-6.602707
0	4	16	-6.665176
0	4	17	-7.497784
0	5	2	8.180832
0	5	4	7.591954
0	5	9	7.187836
0	5	11	6.402683
0	5	1	5.478193
0	5	0	5.207182
0	5	15	4.699497
0	5	6	3.104169
0	5	7	3.048177
0	5	12	2.970773
0	5	14	2.589227
0	5	5	1.963842
0	5	8	-0.191798
0	5	18	-0.584709
0	5	10	-1.866146
0	5	3	-2.050570
0	5	19	-2.941347
0	5	17	-6.932250
0	5	16	-7.211654
0	5	13	-7.994655
0	6	14	1.147240
0	6	9	-0.334860
0	6	10	-0.751058
0	6	1	-0.784124
0	6	0	-0.827793
0	6	3	-2.729814
0	6	18	-3.006579
0	6	5	-3.502233
0	6	12	-3.820785
0	6	15	-3.900800
0	6	19	-3.979977
0	6	8	-4.390561
0	6	7	-4.510622
0	6	4	-4.590838
0	6	11	-5.023593
0	6	2	-5.688411
0	6	6	-6.880745
0	6	16	-7.413841
0	6	17	-7.434856
0	6	13	-7.499336
0	7	4	7.778980
0	7	19	6.442155
0	7	15	6.368980
0	7	2	5.281106
0	7	6	4.992962
0	7	0	4.666970
0	7	9	4.642542
0	7	10	4.449723
0	7	5	3.815983
0	7	1	3.779243
0	7	14	3.273521
0	7	18	2.742293
0	7	12	2.301703
0	7	11	1.271439
0	7	8	1.079331
0	7	3	0.995259
0	7	16	-4.651989
0	7	7	-5.201370
0	7	13	-6.121036
0	7	17	-7.449325
0	8	5	7.082418
0	8	11	6.567955
0	8	10	6.386089
0	8	2	6.123312
0	8	19	5.945773
0	8	6	5.726172
0	8	9	5.681926
0	8	14	4.973277
0	8	4	4.910887
0	8	8	4.140510
0	8	0	3.590975
0	8	15	1.663777
0	8	7	1.174195
0	8	1	1.031029
0	8	18	0.076624
0	8	3	-0.552337
0	8	12	-0.593055
0	8	17	-5.286068
0	8	13	-5.681977
0	8	16	-7.342983
0	9	9	8.313231
0	9	11	8.097535
0	9	4	7.801828
0	9	5	7.767167
0	9	0	6.911664
0	9	10	6.384586
0	9	12	6.236836
0	9	2	5.770625
0	9	14	5.377541
0	9	6	5.327298
0	9	19	4.958057
0	9	15	4.763203
0	9	1	4.409709
0	9	7	4.112835
0	9	8	2.559015
0	9	3	-2.782767
0	9	18	-4.331097
0	9	17	-5.672055
0	9	16	-7.416537
0	9	13	-7.592451
0	10	9	8.461909
0	10	4	8.425559
0	10	11	8.289437
0	10	6	6.700663
0	10	5	6.557811
0	10	1	6.516785
0	10	0	4.722637
0	10	12	3.583123
0	10	15	3.455108
0	10	7	3.092469
0	10	19	1.952249
0	10	2	1.431380
0	10	14	1.077248
0	10	10	0.857455
0	10	8	-1.652567
0	10	18	-3.391840
0	10	3	-4.115897
0	10	16	-7.213895
0	10	17	-7.308399
0	10	13	-7.658153
0	11	19	7.667355
0	11	10	7.656247
0	11	2	7.411641
0	11	4	7.282135
0	11	5	7.097207
0	11	11	6.988524
0	11	9	5.371333
0	11	17	5.367353
0	11	12	4.386463
0	11	1	4.294018
0	11	0	3.198430
0	11	14	2.701296
0	11	15	1.838166
0	11	6	1.195957
0	11	8	-2.105258
0	11	3	-2.122648
0	11	18	-3.605958
0	11	7	-4.276491
0	11	13	-5.932927
0	11	16	-7.364461
0	12	14	7.662549
0	12	5	7.497123
0	12	4	4.410177
0	12	6	3.846039
0	12	9	3.618327
0	12	2	3.460783
0	12	15	2.316957
0	12	11	0.649877
0	12	19	-0.646130
0	12	1	-0.946899
0	12	0	-1.573846
0	12	10	-2.423492
0	12	8	-2.870180
0	12	3	-3.630699
0	12	18	-4.044006
0	12	12	-4.099859
0	12	13	-4.536896
0	12	7	-5.124524
0	12	16	-7.627487
0	12	17	-7.833877
0	13	9	5.882683
0	13	2	5.090969
0	13	15	4.877151
0	13	11	4.486776
0	13	19	4.384844
0	13	1	4.214725
0	13	0	4.118238
0	13	10	3.719064
0	13	6	3.333490
0	13	12	2.674575
0	13	5	2.565009
0	13	3	2.137142
0	13	8	1.756060
0	13	14	1.670360
0	13	4	-0.776288
0	13	17	-3.310200
0	13	18	-4.250783
0	13	7	-4.605641
0	13	13	-5.901284
0	13	16	-7.769343
0	14	30	6.979118
0	14	63	6.765104
0	14	27	6.079179
0	14	51	5.985018
0	14	57	5.949384
0	14	53	5.535137
0	14	43	5.384108
0	14	14	5.371782
0	14	31	5.303545
0	14	48	5.132241
0	14	71	5.049842
0	14	58	4.966753
0	14	85	4.944183
0	14	45	4.758194
0	14	49	4.607302
0	14	34	4.388177
0	14	32	4.383686
0	14	22	4.346855
0	14	54	4.185363
0	14	52	3.837502
0	14	47	3.676905
0	14	26	3.668864
0	14	25	3.665209
0	14	72	3.287951
0	14	35	3.206535
0	14	36	2.982089
0	14	29	2.889226
0	14	56	2.828935
0	14	28	2.771896
0	14	3	2.417591
0	14	66	2.279566
0	14	21	1.692836
0	14	50	1.430349
0	14	79	1.196531
0	14	11	1.071466
0	14	44	0.500268
0	14	18	-0.178119
0	14	23	-0.481319
0	14	75	-0.613226
0	14	8	-0.673517
0	14	74	-0.894947
0	14	20	-1.446163
0	14	46	-1.527263
0	14	70	-1.628703
0	14	38	-1.684841
0	14	62	-1.734170
0	14	73	-2.127343
0	14	24	-2.553843
0	14	61	-2.679495
0	14	37	-2.695674
0	14	76	-2.745698
0	14	65	-2.850778
0	14	64	-2.943279
0	14	69	-3.528857
0	14	33	-3.581471
0	14	40	-3.970411
0	14	41	-4.205840
0	14	42	-4.414806
0	14	78	-4.471572
0	14	39	-4.623683
0	14	16	-4.854126
0	14	77	-6.070430
0	14	55	-6.281822
0	15	63	6.678091
0	15	57	6.121373
0	15	14	5.608140
0	15	53	5.448766
0	15	51	5.438011
0	15	58	5.246258
0	15	31	5.023917
0	15	30	4.907853
0	15	25	4.743270
