0	1	2	14.983026
0	1	1	14.609676
0	1	11	13.406026
0	1	15	11.679776
0	1	5	11.457846
0	1	18	10.077339
0	1	14	9.717634
0	1	4	3.299390
0	1	3	2.952184
0	1	19	2.465312
0	1	0	-0.418304
0	1	10	-3.667591
0	1	9	-3.792386
0	1	13	-6.539265
0	1	8	-6.914918
0	1	12	-9.389897
0	1	6	-11.066901
0	1	16	-13.494246
0	1	7	-14.051393
0	1	17	-14.141955
0	2	2	14.881084
0	2	1	13.915239
0	2	11	13.554288
0	2	5	12.743084
0	2	15	12.523848
0	2	9	10.517843
0	2	3	2.943330
0	2	10	-0.549084
0	2	4	-3.939701
0	2	8	-5.139916
0	2	14	-6.064780
0	2	18	-8.666911
0	2	0	-8.823629
0	2	6	-12.276116
0	2	13	-12.483441
0	2	16	-13.139561
0	2	7	-13.400193
0	2	19	-13.449088
0	2	17	-14.754841
0	2	12	-14.978331
0	3	2	14.730344
0	3	1	14.243524
0	3	10	13.778339
0	3	15	13.688066
0	3	11	13.378167
0	3	5	13.185163
0	3	9	11.662903
0	3	14	11.566456
0	3	4	10.338475
0	3	18	10.285048
0	3	3	6.387386
0	3	0	4.876873
0	3	6	4.256657
0	3	19	-7.098933
0	3	13	-8.018106
0	3	8	-9.924666
0	3	7	-10.920248
0	3	16	-12.913609
0	3	12	-13.177867
0	3	17	-13.702960
0	14	21	7.124431
0	14	27	6.783861
0	14	26	6.607949
0	14	69	6.535928
0	14	14	5.851190
0	14	22	5.297402
0	14	45	5.184369
0	14	43	4.634348
0	14	20	4.215115
0	14	3	3.253761
0	14	25	2.186291
0	14	32	1.706232
0	14	30	1.022230
0	14	31	0.700265
0	14	52	0.620381
0	14	54	0.617501
0	14	28	0.424392
0	14	63	-0.623032
0	14	23	-0.641501
0	14	24	-1.452112
0	14	37	-1.562551
0	14	8	-1.747145
0	14	39	-1.775983
0	14	65	-2.445292
0	14	56	-3.001218
0	14	58	-3.345662
0	14	11	-3.797228
0	14	51	-4.466161
0	14	41	-4.982213
0	14	29	-5.303116
0	14	42	-5.427827
0	14	46	-7.126811
0	14	36	-8.669504
0	14	57	-8.763292
0	14	61	-9.056865
0	14	71	-9.744252
0	14	18	-10.522485
0	14	50	-10.578318
0	14	73	-11.341837
0	14	64	-11.484209
0	14	77	-11.508867
0	14	38	-11.608111
0	14	33	-11.711707
0	14	70	-11.931489
0	14	55	-11.931670
0	14	44	-12.120995
0	14	40	-12.260475
0	14	76	-12.272653
0	14	78	-12.566575
0	14	53	-12.569842
0	14	62	-12.736859
0	14	48	-12.807058
0	14	75	-13.025394
0	14	72	-13.111050
0	14	16	-13.114182
0	14	49	-13.114784
0	14	74	-13.445665
0	14	85	-13.778417
0	14	35	-13.817229
0	14	47	-13.928883
0	14	34	-14.063211
