0	1	2	6.116233
0	1	1	6.099411
0	1	9	5.266239
0	1	19	5.161984
0	1	10	5.070663
0	1	8	4.641006
0	1	3	3.906047
0	1	6	3.246210
0	1	5	2.760816
0	1	4	1.966608
0	1	14	1.587253
0	1	0	0.937734
0	1	11	0.872988
0	1	18	0.683988
0	1	15	0.325477
0	1	12	-6.443310
0	1	7	-6.919068
0	1	17	-7.129747
0	1	13	-7.132399
0	1	16	-7.347759
0	2	9	6.520189
0	2	3	6.023921
0	2	8	5.885647
0	2	1	5.685175
0	2	4	5.665176
0	2	2	5.495873
0	2	14	5.398346
0	2	5	5.373656
0	2	11	5.246872
0	2	10	4.476183
0	2	18	3.409439
0	2	15	1.120701
0	2	19	-0.126964
0	2	6	-3.523511
0	2	0	-7.059832
0	2	13	-7.103041
0	2	17	-7.234021
0	2	12	-7.301159
0	2	16	-7.563164
0	2	7	-7.753756
0	3	9	5.962540
0	3	1	5.579515
0	3	11	5.506646
0	3	2	4.517287
0	3	5	4.422280
0	3	10	3.577099
0	3	4	3.496446
0	3	3	3.276139
0	3	14	3.210853
0	3	19	2.788759
0	3	8	2.762400
0	3	18	1.824495
0	3	15	0.187928
0	3	6	-4.011532
0	3	0	-6.218373
0	3	7	-6.503794
0	3	17	-6.599266
0	3	13	-6.976956
0	3	16	-7.211271
0	3	12	-7.269487
0	14	27	4.929996
0	14	52	4.753548
0	14	51	4.242500
0	14	3	4.090978
0	14	22	3.988024
0	14	26	3.638299
0	14	31	3.515881
0	14	32	3.491745
0	14	85	3.148534
0	14	58	3.059722
0	14	57	2.790376
0	14	63	2.367059
0	14	54	2.325026
0	14	45	2.103564
0	14	65	1.700729
0	14	72	1.531674
0	14	38	1.317029
0	14	43	0.895684
0	14	42	0.891699
0	14	61	0.582622
0	14	62	0.323640
0	14	40	0.219189
0	14	50	0.086674
0	14	56	-0.011095
0	14	30	-0.116422
0	14	28	-0.181041
0	14	14	-0.243890
0	14	66	-0.302507
0	14	46	-0.391417
0	14	36	-0.664342
0	14	25	-0.678595
0	14	8	-0.840076
0	14	18	-0.852730
0	14	20	-0.938909
0	14	33	-1.194140
0	14	37	-1.226801
0	14	41	-1.467882
0	14	21	-1.541421
0	14	23	-1.622986
0	14	39	-1.626501
0	14	73	-1.677465
0	14	71	-1.693914
0	14	47	-1.747638
0	14	34	-2.640013
0	14	48	-2.844702
0	14	24	-2.993690
0	14	70	-3.926610
0	14	53	-4.108380
0	14	64	-4.196919
0	14	55	-4.680202
0	14	49	-4.703346
0	14	74	-5.011441
0	14	29	-5.457120
0	14	79	-5.802660
0	14	44	-5.991485
0	14	35	-6.757219
0	14	69	-6.941381
0	14	75	-7.060630
0	14	11	-7.275337
0	14	16	-7.571226
0	14	76	-7.591314
0	14	78	-7.598084
0	14	77	-7.793384
0	15	27	5.071271
0	15	51	4.449422
0	15	52	4.420336
0	15	50	4.382877
0	15	58	4.371093
0	15	22	4.283462
0	15	32	4.276964
0	15	45	4.230148
0	15	57	4.215622
0	15	3	4.162399
0	15	63	4.116923
0	15	56	3.791080
0	15	54	3.688713
0	15	30	3.588942
0	15	14	3.548423
0	15	31	3.322779
0	15	62	3.085484
0	15	65	2.813090
0	15	46	2.604231
0	15	43	2.323901
0	15	38	2.256262
0	15	85	2.222904
0	15	42	2.182201
0	15	26	2.038245
0	15	72	1.962235
0	15	61	1.950010
0	15	40	1.843436
0	15	37	1.623856
0	15	8	1.227633
0	15	64	1.011239
0	15	36	0.953384
0	15	47	0.860095
0	15	48	0.801369
0	15	23	0.459630
0	15	41	0.442180
0	15	21	0.287115
0	15	18	0.100158
0	15	25	-0.093476
0	15	66	-0.161608
0	15	53	-0.428965
0	15	74	-0.437911
0	15	28	-0.523854
0	15	24	-0.586972
0	15	73	-0.827659
0	15	39	-0.907726
0	15	20	-0.970405
0	15	33	-1.083692
0	15	71	-1.102046
0	15	11	-1.103777
0	15	16	-1.389859
0	15	55	-1.422664
0	15	44	-1.454873
0	15	49	-1.501648
0	15	29	-1.583794
0	15	79	-1.657072
0	15	34	-1.681045
0	15	70	-1.792388
0	15	35	-3.003966
0	15	76	-4.545762
0	15	78	-4.576082
0	15	69	-6.178996
0	15	75	-6.239199
0	15	77	-7.247938
0	16	22	5.925016
0	16	26	5.660146
0	16	52	5.564741
0	16	32	4.878846
0	16	27	4.771872
0	16	54	4.537973
0	16	51	4.463151
0	16	65	4.461270
0	16	3	4.347967
0	16	58	4.250023
0	16	63	4.153636
0	16	31	3.932019
0	16	62	3.796692
0	16	45	3.383629
0	16	85	2.682817
0	16	56	2.449076
0	16	61	1.996158
0	16	57	1.852350
0	16	42	1.504114
0	16	38	1.493193
0	16	43	1.352470
0	16	25	1.014178
0	16	30	0.960986
0	16	72	0.920429
0	16	46	0.416591
0	16	50	0.279675
0	16	14	-0.000174
0	16	40	-0.063029
0	16	66	-0.208229
0	16	36	-0.277963
0	16	47	-0.292047
0	16	48	-0.335556
0	16	21	-0.525748
0	16	8	-0.729372
0	16	64	-0.793055
0	16	37	-0.820362
0	16	18	-0.988624
0	16	74	-1.112535
0	16	49	-1.157064
0	16	39	-1.203858
0	16	28	-1.267426
0	16	41	-1.293432
0	16	33	-1.548485
0	16	53	-1.649159
0	16	23	-1.652918
0	16	35	-1.689791
0	16	73	-1.759291
0	16	71	-2.012619
0	16	44	-2.061989
0	16	24	-2.445744
0	16	70	-2.533841
0	16	34	-2.546829
0	16	29	-3.076061
0	16	20	-3.169489
0	16	55	-3.228733
0	16	79	-5.036844
0	16	11	-5.527435
0	16	75	-6.501332
0	16	69	-6.760742
0	16	76	-6.924197
0	16	16	-6.956192
0	16	78	-7.122687
0	16	77	-7.676163
0	19	52	4.867155
0	19	58	4.579716
0	19	32	4.059863
0	19	26	3.694716
0	19	51	3.405482
0	19	63	3.295933
0	19	3	3.093730
0	19	22	3.076383
0	19	54	2.742672
0	19	45	2.595458
0	19	85	2.493723
0	19	65	2.382933
0	19	38	2.308311
0	19	31	2.294722
0	19	27	2.228635
0	19	42	1.731823
0	19	61	1.656931
0	19	57	1.369433
0	19	62	1.366472
0	19	43	1.346296
0	19	56	0.865807
0	19	14	0.811016
0	19	66	0.804679
0	19	46	0.711846
0	19	72	0.408147
0	19	30	0.316084
0	19	40	0.007365
0	19	21	-0.277244
0	19	50	-0.314702
0	19	25	-0.331323
0	19	36	-0.498877
0	19	8	-0.526595
0	19	18	-0.585800
0	19	37	-0.662763
0	19	20	-0.666880
0	19	33	-0.697090
0	19	41	-0.734909
0	19	39	-0.832481
0	19	28	-0.921980
0	19	53	-1.034347
0	19	47	-1.124573
0	19	34	-1.129552
0	19	73	-1.392378
0	19	74	-1.579622
0	19	48	-1.598132
0	19	24	-1.625641
0	19	71	-2.015998
0	19	23	-2.195658
0	19	55	-2.564325
0	19	70	-2.702965
0	19	29	-4.017991
0	19	11	-4.268788
0	19	44	-4.843863
0	19	49	-5.233578
0	19	79	-5.613908
0	19	64	-5.890226
0	19	35	-6.711546
0	19	75	-6.932022
0	19	69	-6.949214
0	19	76	-7.114769
0	19	78	-7.235091
0	19	16	-7.327931
0	19	77	-7.558044
0	22	32	5.006019
0	22	52	4.799742
0	22	22	4.604002
0	22	51	4.601762
0	22	26	4.454158
0	22	56	4.367313
0	22	3	4.330128
0	22	42	4.045730
0	22	58	3.645939
0	22	62	3.635454
0	22	38	3.234800
0	22	54	2.567561
0	22	63	2.328355
0	22	43	2.101944
0	22	50	2.090695
0	22	30	2.009099
0	22	61	1.648212
0	22	45	1.557995
0	22	14	1.250446
0	22	36	1.191899
0	22	40	0.866538
0	22	31	0.844463
0	22	27	0.496368
0	22	46	0.443614
0	22	28	0.244614
0	22	57	0.191601
0	22	23	0.167735
0	22	85	-0.158415
0	22	65	-0.165922
0	22	21	-0.261817
0	22	25	-0.345366
0	22	72	-0.416783
0	22	20	-0.472583
0	22	66	-0.524827
0	22	37	-0.589338
0	22	48	-0.630284
0	22	64	-0.639617
0	22	18	-0.789381
0	22	24	-0.849080
0	22	34	-0.858747
0	22	33	-0.906774
0	22	41	-0.963033
0	22	73	-0.974306
0	22	49	-1.069160
0	22	39	-1.075792
0	22	8	-1.105466
0	22	74	-1.144523
0	22	47	-1.239806
0	22	35	-1.342063
0	22	70	-1.464764
0	22	55	-1.505287
0	22	53	-1.505301
0	22	71	-1.548198
0	22	44	-1.695104
0	22	11	-1.972785
0	22	29	-2.692302
0	22	16	-3.787256
0	22	76	-3.858021
0	22	78	-4.960745
0	22	79	-5.932926
0	22	69	-6.040674
0	22	75	-7.046871
0	22	77	-7.108233
0	43	89	6.943171
0	43	99	6.142542
0	43	3	6.084232
0	43	61	5.952230
0	43	95	5.651655
0	43	8	5.018626
0	43	103	4.233363
0	43	14	3.902721
0	43	94	3.852080
0	43	58	3.193496
0	43	63	2.296302
0	43	15	1.974835
0	43	96	1.682552
0	43	93	0.463248
0	43	90	0.404647
0	43	86	0.329913
