0	1	2	0.233919
0	1	14	0.195233
0	1	0	-0.051035
0	1	8	-0.065502
0	1	3	-0.348461
0	1	5	-0.520050
0	1	7	-0.602033
0	1	10	-0.625927
0	1	1	-0.707449
0	1	18	-0.726894
0	1	6	-0.752776
0	1	15	-0.808313
0	1	9	-1.048195
0	1	11	-1.229883
0	1	19	-1.350228
0	1	12	-1.625083
0	1	4	-2.291885
0	1	16	-2.312010
0	1	17	-2.869534
0	1	13	-3.087594
0	2	0	-0.055401
0	2	7	-0.099919
0	2	8	-0.229873
0	2	2	-0.447907
0	2	3	-0.520718
0	2	1	-0.602892
0	2	10	-0.935598
0	2	5	-1.102011
0	2	14	-1.154668
0	2	6	-1.303426
0	2	12	-1.547997
0	2	9	-1.684745
0	2	15	-1.789715
0	2	11	-1.857237
0	2	19	-1.968007
0	2	18	-2.548844
0	2	16	-2.676703
0	2	4	-3.054857
0	2	17	-3.795200
0	2	13	-4.203435
0	3	8	0.539161
0	3	10	0.367031
0	3	18	0.328674
0	3	14	0.175842
0	3	15	0.165789
0	3	0	0.097713
0	3	3	0.078128
0	3	5	0.078109
0	3	1	-0.019761
0	3	6	-0.053334
0	3	2	-0.096521
0	3	9	-0.221755
0	3	19	-0.360312
0	3	12	-0.386046
0	3	11	-0.696774
0	3	7	-0.875547
0	3	13	-1.057450
0	3	16	-1.278030
0	3	4	-1.364642
0	3	17	-1.402834
0	14	30	1.403515
0	14	23	1.221653
0	14	39	0.978146
0	14	56	0.870969
0	14	63	0.734226
0	14	21	0.682981
0	14	55	0.551613
0	14	51	0.545149
0	14	61	0.467442
0	14	50	0.404718
0	14	78	0.396374
0	14	22	0.273704
0	14	31	0.235007
0	14	32	0.199989
0	14	14	0.142875
0	14	40	0.117386
0	14	77	0.087305
0	14	64	0.071255
0	14	43	0.068491
0	14	27	0.018030
0	14	45	0.002151
0	14	57	-0.042032
0	14	42	-0.045005
0	14	53	-0.112162
0	14	52	-0.116292
0	14	54	-0.137929
0	14	37	-0.202020
0	14	8	-0.257253
0	14	34	-0.259918
0	14	25	-0.263346
0	14	74	-0.271181
0	14	26	-0.330617
0	14	66	-0.341445
0	14	28	-0.452685
0	14	71	-0.502693
0	14	62	-0.537299
0	14	36	-0.551080
0	14	3	-0.580263
0	14	65	-0.633440
0	14	58	-0.728423
0	14	48	-0.734281
0	14	72	-0.906363
0	14	38	-0.941058
0	14	76	-1.139562
0	14	11	-1.141972
0	14	73	-1.154392
0	14	20	-1.154946
0	14	46	-1.200904
0	14	75	-1.215731
0	14	18	-1.261458
