0	1	2	0.197419
0	1	14	-0.088600
0	1	0	-0.265842
0	1	3	-0.530465
0	1	7	-0.579524
0	1	8	-0.601568
0	1	1	-0.666320
0	1	5	-0.882614
0	1	10	-0.897910
0	1	11	-1.050284
0	1	9	-1.083683
0	1	6	-1.094314
0	1	15	-1.374888
0	1	19	-1.785700
0	1	12	-1.949631
0	1	18	-1.986512
0	1	16	-2.173654
0	1	4	-2.368441
0	1	17	-3.772977
0	1	13	-3.902320
0	2	8	-0.137732
0	2	0	-0.207862
0	2	3	-0.304309
0	2	2	-0.505656
0	2	7	-0.540724
0	2	1	-0.825278
0	2	10	-0.887797
0	2	5	-1.433472
0	2	9	-1.437056
0	2	14	-1.609215
0	2	6	-1.783861
0	2	11	-1.882010
0	2	12	-2.005321
0	2	15	-2.035741
0	2	19	-2.337821
0	2	18	-2.615294
0	2	16	-2.886888
0	2	4	-3.289126
0	2	17	-4.787956
0	2	13	-4.934555
0	3	8	0.803471
0	3	3	0.445398
0	3	10	0.364701
0	3	18	0.286969
0	3	0	0.251636
0	3	15	0.169405
0	3	1	0.153064
0	3	14	-0.053792
0	3	9	-0.085825
0	3	5	-0.189315
0	3	6	-0.195517
0	3	19	-0.237454
0	3	2	-0.264994
0	3	12	-0.510831
0	3	11	-1.066625
0	3	7	-1.272875
0	3	4	-1.369934
0	3	16	-1.394105
0	3	13	-1.466378
0	3	17	-1.789515
0	14	30	1.615550
0	14	23	0.837709
0	14	56	0.810262
0	14	21	0.709995
0	14	55	0.703324
0	14	39	0.619705
0	14	22	0.590118
0	14	63	0.531352
0	14	61	0.495427
0	14	64	0.410144
0	14	51	0.378218
0	14	50	0.352544
0	14	45	0.303672
0	14	40	0.298473
0	14	14	0.293202
0	14	78	0.249800
0	14	66	0.199217
0	14	34	0.166211
0	14	77	0.115591
0	14	27	0.084864
0	14	3	-0.015217
0	14	25	-0.031517
0	14	54	-0.100797
0	14	26	-0.106524
0	14	31	-0.112131
0	14	32	-0.143973
0	14	74	-0.205416
0	14	57	-0.217068
0	14	53	-0.232369
0	14	36	-0.242908
0	14	37	-0.316277
0	14	42	-0.358524
0	14	43	-0.418059
0	14	62	-0.437994
0	14	65	-0.466200
0	14	48	-0.498965
0	14	52	-0.500653
0	14	72	-0.531823
0	14	8	-0.552811
0	14	71	-0.569179
0	14	85	-0.744479
0	14	28	-0.784121
0	14	58	-0.794396
0	14	73	-0.942194
0	14	75	-0.950883
0	14	38	-0.972160
0	14	20	-0.979291
0	14	79	-0.986638
0	14	11	-1.008325
0	14	46	-1.045675
0	14	76	-1.066257
0	14	33	-1.100565
0	14	49	-1.104146
0	14	29	-1.141566
0	14	70	-1.210475
0	14	44	-1.243945
0	14	18	-1.258406
0	14	16	-1.277117
0	14	35	-1.299325
0	14	41	-1.339996
0	14	47	-1.463437
0	14	24	-1.573948
0	14	69	-1.705918
0	15	30	1.117175
0	15	23	0.686337
0	15	56	0.588221
0	15	63	0.551920
0	15	39	0.490641
0	15	22	0.464787
0	15	55	0.408826
0	15	21	0.408704
0	15	50	0.316805
0	15	61	0.303784
0	15	45	0.244492
0	15	51	0.230504
0	15	77	0.221853
0	15	27	0.197681
0	15	78	0.187107
0	15	54	0.108631
0	15	64	0.101098
0	15	40	0.083439
0	15	53	0.077158
0	15	74	0.065244
0	15	32	0.039392
0	15	66	0.026085
0	15	57	-0.007023
0	15	34	-0.009453
0	15	8	-0.031249
0	15	14	-0.045372
0	15	25	-0.060779
0	15	3	-0.073657
0	15	26	-0.095319
0	15	31	-0.130550
0	15	43	-0.132843
0	15	52	-0.136973
0	15	37	-0.168083
0	15	62	-0.183247
0	15	48	-0.215691
0	15	28	-0.231189
0	15	42	-0.257505
0	15	65	-0.278262
0	15	36	-0.282595
0	15	72	-0.438729
0	15	71	-0.453030
0	15	58	-0.490367
0	15	46	-0.522767
0	15	20	-0.577188
0	15	18	-0.612705
0	15	73	-0.706029
0	15	85	-0.742784
0	15	38	-0.759696
0	15	47	-0.838429
0	15	11	-0.850972
0	15	49	-0.853028
0	15	35	-0.862536
0	15	79	-0.922352
0	15	33	-0.957285
0	15	76	-0.963164
0	15	24	-0.988314
0	15	29	-1.053131
0	15	70	-1.096980
0	15	16	-1.117879
0	15	75	-1.172770
0	15	44	-1.184193
0	15	41	-1.252686
0	15	69	-1.283453
0	16	30	1.928834
0	16	56	1.226784
0	16	22	1.189845
0	16	23	1.047527
0	16	51	0.836581
0	16	50	0.823943
0	16	63	0.781232
0	16	39	0.754676
0	16	55	0.585530
