0	1	2	16.198442
0	1	1	15.701995
0	1	15	15.436579
0	1	5	15.065166
0	1	9	14.278744
0	1	6	12.651470
0	1	14	12.098925
0	1	10	12.076153
0	1	18	11.789003
0	1	11	11.204561
0	1	4	10.000631
0	1	3	9.612974
0	1	0	9.398382
0	1	19	5.927071
0	1	8	3.689200
0	1	17	0.540687
0	1	13	0.125136
0	1	7	-9.328113
0	1	12	-9.495846
0	1	16	-9.557953
0	2	2	14.581287
0	2	1	14.133326
0	2	5	13.681906
0	2	3	12.466760
0	2	9	11.095381
0	2	15	8.533136
0	2	0	6.229903
0	2	14	4.774327
0	2	11	4.199768
0	2	4	3.383710
0	2	17	2.225460
0	2	8	1.467629
0	2	10	-6.532854
0	2	6	-6.639619
0	2	18	-7.613216
0	2	16	-7.938470
0	2	7	-9.243834
0	2	12	-9.277962
0	2	19	-9.617119
0	2	13	-10.931690
0	3	15	16.067131
0	3	1	15.191807
0	3	2	14.603163
0	3	5	12.993696
0	3	10	12.718536
0	3	0	12.371941
0	3	9	12.033770
0	3	4	11.686357
0	3	6	11.676605
0	3	11	8.788446
0	3	18	7.852614
0	3	14	6.924325
0	3	3	6.129499
0	3	17	2.245255
0	3	8	2.031999
0	3	19	0.927825
0	3	16	-7.071196
0	3	12	-7.804646
0	3	13	-9.072639
0	3	7	-10.228895
0	14	27	9.907856
0	14	51	8.780312
0	14	22	8.593512
0	14	43	6.686704
0	14	42	6.462520
0	14	63	6.443128
0	14	45	6.326835
0	14	21	6.214795
0	14	32	5.876049
0	14	3	5.795001
0	14	56	5.689894
0	14	52	5.440787
0	14	48	5.172261
0	14	14	4.820148
0	14	28	4.671812
0	14	38	4.608722
0	14	20	4.589554
0	14	58	4.072093
0	14	26	3.741756
0	14	65	3.285266
0	14	31	1.190037
0	14	54	1.110007
0	14	61	0.725564
0	14	57	0.343059
0	14	46	0.044406
0	14	11	-0.156357
0	14	8	-0.183049
0	14	39	-0.461674
0	14	40	-0.999522
0	14	79	-1.396429
0	14	37	-2.154508
0	14	36	-2.266091
0	14	23	-2.876506
0	14	74	-2.905030
0	14	25	-3.493111
0	14	41	-4.083734
0	14	62	-4.307989
0	14	47	-4.468436
0	14	49	-5.266606
0	14	85	-5.595681
0	14	29	-5.992622
0	14	71	-6.073768
0	14	33	-6.448010
0	14	16	-6.496758
0	14	30	-6.565363
0	14	24	-6.729742
0	14	72	-7.013961
0	14	66	-7.128717
0	14	73	-7.494536
0	14	64	-7.567515
0	14	69	-7.607203
0	14	35	-7.848062
0	14	50	-8.149256
0	14	18	-8.482286
0	14	75	-8.804477
0	14	77	-8.805096
0	14	76	-9.298401
0	14	53	-9.344582
0	14	78	-9.377466
0	14	55	-9.621632
0	14	70	-9.670570
0	14	34	-9.720123
0	14	44	-10.094654
0	15	37	15.620392
0	15	65	13.409845
0	15	51	12.969423
0	15	42	12.261049
0	15	20	11.943515
0	15	61	11.736649
0	15	23	11.015526
0	15	43	10.392963
0	15	14	9.807782
0	15	21	8.861736
0	15	57	8.342558
0	15	32	8.219687
0	15	27	6.802310
0	15	52	6.622914
0	15	63	6.473200
0	15	22	6.047891
0	15	56	5.950983
0	15	31	5.623979
0	15	48	5.560479
0	15	50	4.638719
0	15	62	4.441407
0	15	54	4.373500
0	15	58	4.352050
0	15	28	3.919409
0	15	46	3.622772
0	15	11	3.445896
0	15	45	2.350693
0	15	38	1.928065
0	15	24	1.743676
0	15	3	1.540731
0	15	25	1.419978
0	15	39	0.551928
0	15	36	0.140376
0	15	8	0.073198
0	15	26	-0.005217
0	15	79	-1.890675
0	15	74	-2.348084
0	15	64	-2.381853
0	15	40	-2.800775
0	15	41	-4.943221
0	15	72	-5.673931
0	15	35	-5.720437
0	15	33	-5.955162
0	15	47	-5.986160
0	15	69	-5.991600
0	15	71	-6.444747
0	15	30	-6.669120
0	15	16	-6.784882
0	15	85	-7.051385
0	15	49	-7.086221
0	15	29	-7.086277
0	15	73	-7.415028
0	15	66	-7.842787
0	15	75	-8.045403
0	15	18	-8.204832
0	15	53	-8.637823
0	15	77	-9.166702
0	15	78	-9.453749
0	15	70	-9.612228
0	15	34	-9.618765
0	15	76	-9.956888
0	15	44	-10.271990
0	15	55	-10.298639
0	16	43	17.663555
0	16	32	17.571486
0	16	58	17.277130
0	16	56	16.944490
0	16	22	16.669962
0	16	54	16.483271
0	16	26	16.410967
0	16	21	16.237949
0	16	63	16.138620
0	16	28	16.112900
0	16	20	15.889305
0	16	52	15.608295
0	16	3	15.339767
0	16	48	14.915979
0	16	42	14.652344
0	16	51	14.369431
0	16	37	12.557779
0	16	27	11.596308
0	16	14	11.041842
0	16	45	10.210636
0	16	61	8.430438
0	16	25	8.280578
0	16	57	7.852707
0	16	62	7.353066
0	16	50	7.010682
0	16	30	4.630407
0	16	38	4.503408
0	16	47	4.126516
0	16	31	3.695050
0	16	35	3.215655
0	16	39	2.487634
0	16	40	2.369296
0	16	8	1.813318
0	16	23	1.749186
0	16	53	1.527456
0	16	65	1.282241
0	16	79	1.166478
0	16	36	0.493417
0	16	49	0.130416
0	16	74	-0.331649
0	16	72	-2.000446
0	16	16	-2.030057
0	16	11	-2.447864
0	16	66	-2.936542
0	16	41	-3.018353
0	16	75	-3.825471
0	16	85	-4.056740
0	16	64	-4.382773
0	16	44	-4.923288
0	16	70	-5.196380
0	16	34	-5.290889
0	16	71	-5.948977
0	16	46	-6.001040
0	16	24	-6.530321
0	16	76	-6.739583
0	16	29	-7.147737
0	16	55	-7.300732
0	16	33	-8.465315
0	16	73	-8.557970
0	16	18	-8.822027
0	16	69	-8.901453
0	16	77	-9.512161
0	16	78	-10.038706
0	19	37	15.168978
0	19	46	14.724606
0	19	20	12.505974
0	19	3	11.961607
0	19	65	11.015158
0	19	42	10.836655
0	19	51	10.815392
0	19	38	10.317310
0	19	61	9.609489
0	19	29	9.467035
0	19	32	9.416006
0	19	63	9.002531
0	19	23	8.423647
0	19	27	8.350304
0	19	56	8.254366
0	19	43	7.410783
0	19	21	7.222652
0	19	26	6.639087
0	19	45	5.025896
0	19	25	4.829062
0	19	40	4.438344
0	19	24	3.773711
0	19	48	3.281953
0	19	28	3.244269
0	19	22	2.816494
0	19	52	2.811355
0	19	57	2.592720
0	19	41	2.007890
0	19	31	1.786014
0	19	62	0.971364
0	19	14	0.716271
0	19	39	0.387915
0	19	8	-0.132433
0	19	11	-0.386760
0	19	85	-1.601124
0	19	54	-1.916395
0	19	69	-2.192102
0	19	33	-2.705883
0	19	79	-2.887654
0	19	36	-3.142396
0	19	74	-3.847957
0	19	58	-3.970813
0	19	50	-4.278429
0	19	30	-4.327312
0	19	47	-4.381216
0	19	72	-5.204633
0	19	16	-5.811935
0	19	49	-6.147744
0	19	71	-6.311195
0	19	66	-6.688142
0	19	75	-6.919878
0	19	73	-7.043887
0	19	64	-7.063151
0	19	35	-7.318871
0	19	77	-8.555676
0	19	18	-8.751858
0	19	34	-9.083941
0	19	53	-9.150796
0	19	70	-9.577051
0	19	78	-9.596397
0	19	76	-9.634546
0	19	55	-10.119291
0	19	44	-10.136431
0	22	32	17.263090
0	22	42	16.971676
0	22	22	16.885052
0	22	58	16.864023
0	22	26	16.722668
0	22	43	16.719580
0	22	37	16.699741
0	22	52	16.552450
0	22	46	16.405823
0	22	54	15.711628
0	22	20	15.596977
0	22	56	15.386189
0	22	51	15.339298
0	22	63	15.127842
0	22	50	14.278476
0	22	21	13.722433
0	22	61	13.084366
0	22	3	12.349436
0	22	23	9.839628
0	22	28	8.974742
0	22	57	8.090438
0	22	53	7.859429
0	22	38	7.756427
0	22	14	7.120321
0	22	62	7.056647
0	22	48	6.020925
0	22	27	5.992293
0	22	25	5.482791
0	22	36	5.333490
0	22	31	5.124367
0	22	73	4.606656
0	22	40	4.396450
0	22	45	3.333239
0	22	65	2.724461
0	22	11	2.610596
0	22	47	2.256942
0	22	33	2.014312
0	22	30	1.340166
0	22	39	0.665267
0	22	24	-0.222630
0	22	49	-0.648606
0	22	8	-0.819873
0	22	85	-0.970827
0	22	74	-2.964067
0	22	79	-3.335618
0	22	35	-3.411943
0	22	34	-3.839551
0	22	66	-3.951670
0	22	41	-4.424937
0	22	64	-5.040423
0	22	16	-5.339949
0	22	72	-6.671313
0	22	75	-7.523346
0	22	69	-7.997137
0	22	18	-8.032082
0	22	71	-8.170189
0	22	29	-8.200550
0	22	77	-9.050928
0	22	55	-9.254133
0	22	70	-9.269963
0	22	78	-9.310311
0	22	76	-9.884380
0	22	44	-10.231558
0	43	90	15.639299
0	43	3	15.227787
0	43	89	13.318800
0	43	94	13.046852
0	43	91	12.894640
0	43	110	12.436274
0	43	61	10.971609
0	43	63	10.700842
0	43	106	10.452948
0	43	103	10.373610
0	43	92	9.776217
0	43	98	8.788927
0	43	11	7.264243
0	43	99	6.176302
0	43	105	5.844340
0	43	87	5.595830
0	43	86	5.242814
0	43	15	4.164664
0	43	100	3.947522
0	43	88	2.940535
0	43	17	1.986115
0	43	14	0.783677
0	43	8	-0.121482
0	43	109	-1.634667
0	43	52	-1.810451
0	43	95	-2.357061
0	43	108	-2.718929
0	43	97	-2.724342
0	43	26	-2.729282
0	43	107	-3.041531
0	43	93	-3.870780
0	43	96	-5.681595
0	43	85	-5.715916
0	43	69	-6.083848
0	43	58	-7.094550
0	43	18	-8.714092
0	43	13	-10.326303
0	44	90	16.822815
0	44	93	13.151569
0	44	63	11.861246
0	44	95	9.987217
0	44	91	6.751354
0	44	110	6.749072
0	44	88	5.495714
0	44	106	5.172082
0	44	17	3.255479
0	44	98	3.108189
0	44	8	2.886405
0	44	97	1.127077
0	44	109	0.996582
0	44	52	0.572854
0	44	15	-0.678647
0	44	92	-1.332498
0	44	86	-2.081614
0	44	26	-2.735833
0	44	94	-3.371790
0	44	61	-3.486264
0	44	87	-4.560536
0	44	69	-4.784923
0	44	96	-5.284145
0	44	100	-5.501208
0	44	108	-6.089137
0	44	58	-6.457699
0	44	14	-6.696138
0	44	107	-7.128458
0	44	85	-7.155524
0	44	3	-7.419809
0	44	99	-7.509894
0	44	89	-7.546054
0	44	103	-7.684758
0	44	11	-8.290751
0	44	18	-8.547748
0	44	105	-8.786723
0	44	13	-9.626921
0	54	8	3.797892
0	54	17	1.129338
0	54	14	-0.128797
0	54	18	-8.547436
