0	1	2	1.013535
0	1	15	0.779556
0	1	14	0.579663
0	1	10	0.368249
0	1	11	-0.176331
0	1	8	-0.289542
0	1	5	-0.643992
0	1	0	-0.810296
0	1	1	-1.161570
0	1	3	-1.618134
0	1	18	-1.827576
0	1	9	-1.971844
0	1	6	-2.321945
0	1	19	-2.342841
0	1	7	-2.342921
0	1	4	-2.476218
0	1	16	-3.295454
0	1	12	-3.582829
0	1	13	-4.650447
0	1	17	-6.302531
0	2	7	0.858247
0	2	0	-0.846297
0	2	2	-1.121217
0	2	1	-1.152843
0	2	8	-1.678442
0	2	11	-1.699837
0	2	5	-1.744845
0	2	14	-2.623781
0	2	9	-3.310636
0	2	3	-3.353896
0	2	10	-3.425635
0	2	6	-3.649578
0	2	12	-4.110306
0	2	4	-4.197448
0	2	15	-4.698444
0	2	19	-5.517688
0	2	16	-7.106377
0	2	18	-7.169792
0	2	17	-8.374001
0	2	13	-8.726743
0	3	8	1.272710
0	3	14	0.662445
0	3	5	0.568235
0	3	1	0.333509
0	3	10	0.092493
0	3	18	-0.209897
0	3	6	-0.284328
0	3	11	-0.290114
0	3	15	-0.481445
0	3	2	-0.619316
0	3	7	-0.639371
0	3	3	-0.646064
0	3	0	-0.679042
0	3	12	-1.020379
0	3	9	-1.155751
0	3	13	-1.187536
0	3	19	-1.200115
0	3	4	-1.404226
0	3	16	-2.689961
0	3	17	-3.014893
0	14	62	1.898998
0	14	50	1.870187
0	14	73	1.306765
0	14	23	1.123865
0	14	39	1.069255
0	14	56	1.025241
0	14	14	0.894511
0	14	78	0.811360
0	14	37	0.719677
0	14	57	0.691633
0	14	25	0.682117
0	14	63	0.642820
0	14	51	0.633656
0	14	31	0.470568
0	14	65	0.373303
0	14	22	0.359229
0	14	52	0.338359
0	14	30	0.310811
0	14	76	0.302893
0	14	61	0.269737
0	14	74	0.204307
0	14	77	0.155177
0	14	21	0.123956
0	14	43	0.083640
0	14	26	0.078605
0	14	11	-0.002572
0	14	70	-0.013350
0	14	54	-0.053614
0	14	27	-0.127878
0	14	28	-0.137840
0	14	75	-0.142148
0	14	55	-0.154407
0	14	64	-0.166278
0	14	36	-0.193327
0	14	40	-0.365876
0	14	8	-0.373328
0	14	34	-0.373482
0	14	48	-0.431844
0	14	44	-0.444189
0	14	24	-0.446169
0	14	53	-0.453837
0	14	71	-0.466327
0	14	42	-0.540104
0	14	45	-0.541131
0	14	32	-0.571763
0	14	58	-0.681259
0	14	72	-0.731860
0	14	20	-0.817501
0	14	38	-0.855080
0	14	66	-0.883159
0	14	29	-0.902310
0	14	33	-1.201525
0	14	49	-1.245575
0	14	85	-1.313999
0	14	18	-1.403371
0	14	69	-1.535495
0	14	41	-1.574277
0	14	35	-1.729058
0	14	3	-1.775003
0	14	79	-2.024680
0	14	46	-2.130757
0	14	47	-2.248322
0	14	16	-3.072082
0	15	62	1.582364
0	15	50	1.287294
0	15	63	1.219049
0	15	23	1.036404
0	15	51	0.955740
0	15	56	0.841537
0	15	22	0.757654
0	15	39	0.708175
0	15	52	0.679593
0	15	78	0.672814
0	15	74	0.654684
0	15	73	0.615707
0	15	37	0.565297
0	15	27	0.519600
0	15	57	0.395655
0	15	26	0.394870
0	15	25	0.382884
0	15	30	0.305935
0	15	28	0.290512
0	15	31	0.243884
0	15	43	0.153041
0	15	61	0.146180
0	15	55	0.067078
0	15	20	0.027570
0	15	58	-0.005874
0	15	14	-0.032155
0	15	32	-0.034267
0	15	65	-0.062369
0	15	77	-0.098433
0	15	21	-0.151959
0	15	36	-0.166510
0	15	72	-0.273947
0	15	34	-0.283389
0	15	54	-0.308788
0	15	24	-0.344123
0	15	64	-0.383632
0	15	66	-0.473131
0	15	35	-0.593269
0	15	45	-0.633844
0	15	40	-0.660167
0	15	53	-0.667443
0	15	48	-0.717415
0	15	76	-0.725592
0	15	8	-0.748334
0	15	70	-0.751406
0	15	85	-0.882518
0	15	18	-0.926665
0	15	46	-0.967387
0	15	3	-1.047970
0	15	42	-1.059773
0	15	44	-1.087262
0	15	38	-1.106098
0	15	11	-1.136947
0	15	75	-1.138988
0	15	47	-1.162864
0	15	49	-1.241982
0	15	71	-1.313725
0	15	33	-1.375531
0	15	29	-1.376912
0	15	69	-1.678140
0	15	79	-1.708580
0	15	16	-1.772263
0	15	41	-2.300605
0	16	50	3.412950
0	16	62	3.027574
0	16	51	2.890390
0	16	74	2.624200
0	16	27	2.619032
0	16	22	2.047389
0	16	26	1.961384
0	16	63	1.875932
0	16	58	1.749583
0	16	23	1.743375
0	16	73	1.395876
0	16	39	1.190711
0	16	28	1.123528
0	16	54	1.039212
0	16	14	1.026450
0	16	37	1.010298
0	16	43	0.927532
0	16	36	0.893311
0	16	52	0.888190
0	16	56	0.845393
0	16	25	0.625665
0	16	78	0.503220
0	16	61	0.435900
0	16	31	-0.012998
0	16	85	-0.021901
0	16	20	-0.040035
0	16	3	-0.051263
0	16	57	-0.078749
0	16	24	-0.094712
0	16	72	-0.121703
0	16	35	-0.128054
0	16	32	-0.153364
0	16	30	-0.240190
0	16	65	-0.358332
0	16	64	-0.478023
0	16	8	-0.527861
0	16	55	-0.713769
0	16	18	-0.716453
0	16	66	-0.736283
0	16	45	-0.739815
0	16	47	-0.753483
0	16	21	-1.040886
0	16	34	-1.083386
0	16	77	-1.475867
0	16	42	-1.489655
0	16	16	-1.548973
0	16	70	-1.622188
0	16	53	-1.798459
0	16	11	-1.803830
0	16	40	-1.809408
0	16	76	-1.818970
0	16	75	-1.820394
0	16	29	-2.010855
0	16	46	-2.017966
0	16	48	-2.109739
0	16	38	-2.249181
0	16	44	-2.379890
0	16	49	-2.609231
0	16	33	-2.727148
0	16	69	-2.738960
0	16	71	-3.057495
0	16	79	-3.259361
0	16	41	-3.272769
0	19	23	1.642731
0	19	63	1.457277
0	19	39	1.414944
0	19	62	1.191944
0	19	25	1.089002
0	19	78	1.047400
0	19	51	0.971460
0	19	37	0.813272
0	19	61	0.675132
0	19	55	0.425912
0	19	73	0.386433
0	19	74	0.344947
0	19	77	0.328674
0	19	32	0.246889
0	19	40	0.244506
0	19	50	0.232218
0	19	56	0.231222
0	19	43	0.220658
0	19	27	0.213951
0	19	21	0.063050
0	19	57	0.006542
0	19	30	0.006462
0	19	28	-0.058730
0	19	52	-0.076395
0	19	26	-0.086542
0	19	36	-0.126740
0	19	22	-0.158926
0	19	58	-0.160537
0	19	31	-0.247506
0	19	64	-0.254490
0	19	65	-0.334866
0	19	20	-0.345545
0	19	34	-0.345763
0	19	24	-0.388954
0	19	53	-0.501031
0	19	72	-0.520129
0	19	38	-0.533833
0	19	11	-0.586024
0	19	46	-0.668474
0	19	76	-0.716087
0	19	47	-0.717672
0	19	70	-0.765772
0	19	35	-0.811210
0	19	14	-0.835278
0	19	42	-0.848633
0	19	33	-0.857964
0	19	45	-0.873529
0	19	66	-0.913057
0	19	75	-0.952786
0	19	44	-0.959888
0	19	54	-0.964376
0	19	48	-1.028226
0	19	29	-1.143150
0	19	85	-1.160611
0	19	71	-1.182797
0	19	8	-1.333207
0	19	41	-1.439969
0	19	18	-1.503028
0	19	69	-1.518869
0	19	49	-1.563254
0	19	79	-1.565814
0	19	16	-1.590201
0	19	3	-1.737530
0	22	51	3.659165
0	22	50	3.097157
0	22	63	2.881149
