0	1	2	2.267307
0	1	15	1.495325
0	1	11	1.399977
0	1	14	-0.123582
0	1	3	-0.185356
0	1	0	-0.189612
0	1	10	-0.403353
0	1	1	-1.463974
0	1	5	-1.868267
0	1	18	-2.303956
0	1	16	-2.578432
0	1	9	-2.883379
0	1	8	-3.066586
0	1	7	-3.173758
0	1	12	-3.569891
0	1	6	-4.269367
0	1	19	-4.481650
0	1	4	-4.774854
0	1	13	-6.148191
0	1	17	-8.137719
0	2	15	2.587658
0	2	3	2.358166
0	2	10	1.819303
0	2	2	0.722097
0	2	0	0.713184
0	2	1	0.322554
0	2	11	-0.555996
0	2	8	-1.960979
0	2	5	-3.016374
0	2	12	-4.451401
0	2	18	-4.552112
0	2	14	-4.847635
0	2	16	-5.046288
0	2	7	-5.662376
0	2	19	-5.881272
0	2	9	-6.150260
0	2	4	-6.161845
0	2	6	-6.755788
0	2	13	-7.712359
0	2	17	-12.870555
0	3	3	0.100158
0	3	10	0.090868
0	3	1	0.084882
0	3	8	0.079996
0	3	2	0.077697
0	3	5	0.077437
0	3	15	0.076390
0	3	14	0.076196
0	3	0	0.073105
0	3	18	0.072725
0	3	19	0.072420
0	3	12	0.072013
0	3	9	0.071138
0	3	13	0.070905
0	3	6	0.070637
0	3	7	0.069526
0	3	4	0.067107
0	3	11	0.065438
0	3	16	0.064251
0	3	17	0.048784
0	14	30	0.100342
0	14	39	0.098512
0	14	50	0.097555
0	14	64	0.096138
0	14	21	0.095702
0	14	25	0.092435
0	14	78	0.092059
0	14	66	0.091497
0	14	3	0.091420
0	14	55	0.090798
0	14	56	0.090283
0	14	62	0.089327
0	14	22	0.087782
0	14	29	0.087525
0	14	51	0.087482
0	14	36	0.087385
0	14	14	0.086899
0	14	61	0.085174
0	14	23	0.084463
0	14	63	0.083894
0	14	48	0.082643
0	14	57	0.082578
0	14	26	0.079797
0	14	73	0.079501
0	14	34	0.079244
0	14	32	0.079242
0	14	77	0.079177
0	14	54	0.077488
0	14	45	0.077035
0	14	43	0.074115
0	14	44	0.070165
0	14	40	0.069659
0	14	8	0.069489
0	14	37	0.069167
0	14	31	0.069060
0	14	58	0.068761
0	14	76	0.067889
0	14	74	0.066746
0	14	65	0.066649
0	14	11	0.066317
0	14	18	0.065527
0	14	20	0.063463
0	14	52	0.063117
0	14	70	0.062501
0	14	38	0.061798
0	14	71	0.061711
0	14	42	0.061081
0	14	75	0.059990
0	14	33	0.059842
0	14	28	0.059027
0	14	53	0.058175
0	14	41	0.056591
0	14	49	0.056404
0	14	27	0.056043
0	14	24	0.055001
0	14	72	0.054184
0	14	69	0.052863
0	14	79	0.043800
0	14	35	0.043455
0	14	46	0.041129
0	14	47	0.039153
0	14	16	0.037078
0	14	85	0.036100
0	15	56	2.599838
0	15	63	2.528497
0	15	62	2.124256
0	15	50	1.692013
0	15	54	1.615570
0	15	30	1.536252
0	15	51	1.381550
0	15	3	1.337970
0	15	73	1.077718
0	15	57	1.023622
0	15	22	0.934855
0	15	36	0.888070
0	15	28	0.879898
0	15	39	0.718123
0	15	66	0.652662
0	15	61	0.650583
0	15	18	0.650060
0	15	26	0.645042
0	15	25	0.517290
0	15	35	0.513828
0	15	58	0.513107
0	15	69	0.466512
0	15	43	0.464406
0	15	20	0.351341
0	15	74	0.323253
0	15	27	0.233596
0	15	45	0.218519
0	15	21	0.211896
0	15	23	0.202213
0	15	78	0.080885
0	15	14	-0.016248
0	15	77	-0.027133
0	15	55	-0.085069
0	15	49	-0.103991
0	15	65	-0.131200
0	15	34	-0.417776
0	15	72	-0.441078
0	15	32	-0.493496
0	15	44	-0.709880
0	15	37	-0.813791
0	15	76	-0.828521
0	15	40	-0.862701
0	15	75	-0.904914
0	15	52	-0.930165
0	15	8	-0.950111
0	15	64	-0.965282
0	15	48	-1.138460
0	15	42	-1.184494
0	15	31	-1.215237
0	15	16	-1.343351
0	15	24	-1.390373
0	15	70	-1.437578
0	15	38	-1.469903
0	15	85	-1.474070
0	15	29	-1.509735
0	15	46	-1.648135
0	15	79	-1.705306
0	15	11	-1.852521
0	15	47	-1.919090
0	15	33	-1.930153
0	15	71	-1.972344
0	15	41	-2.394538
0	15	53	-2.549602
0	16	51	3.080992
0	16	63	2.971212
0	16	50	2.735485
0	16	62	2.593822
0	16	58	2.383476
0	16	57	1.953248
0	16	73	1.778845
