0	1	2	16.869984
0	1	11	16.484200
0	1	19	15.634673
0	1	4	15.019215
0	1	1	13.073773
0	1	15	11.107392
0	1	9	10.744204
0	1	5	9.546693
0	1	8	9.431728
0	1	0	8.155810
0	1	12	4.742968
0	1	14	1.699893
0	1	6	0.175469
0	1	10	-0.196598
0	1	7	-1.231269
0	1	18	-5.055306
0	1	3	-7.860724
0	1	16	-18.824760
0	1	13	-19.022863
0	1	17	-20.435610
0	2	11	16.480635
0	2	5	15.633728
0	2	9	15.237136
0	2	4	14.638941
0	2	0	12.477312
0	2	2	11.178944
0	2	1	11.096306
0	2	8	10.449469
0	2	7	10.078641
0	2	12	7.116378
0	2	14	4.824420
0	2	15	3.478915
0	2	19	2.741647
0	2	10	1.255733
0	2	6	-4.491650
0	2	3	-5.676362
0	2	18	-6.732755
0	2	13	-14.168175
0	2	16	-17.973709
0	2	17	-19.347559
0	3	9	18.564981
0	3	5	18.383062
0	3	11	17.920368
0	3	4	16.764257
0	3	8	14.468384
0	3	0	13.752169
0	3	1	13.592082
0	3	14	13.351515
0	3	10	12.199487
0	3	2	11.985653
0	3	15	11.906622
0	3	19	11.602040
0	3	6	6.121257
0	3	7	4.367503
0	3	18	3.493838
0	3	12	3.008274
0	3	3	-1.662621
0	3	16	-16.713093
0	3	13	-17.154898
0	3	17	-19.629141
0	4	6	15.102734
0	4	0	14.257457
0	4	2	13.338781
0	4	15	11.015568
0	4	8	10.146416
0	4	4	9.673759
0	4	3	8.127677
0	4	12	7.705975
0	4	5	7.482357
0	4	11	6.771669
0	4	1	2.836243
0	4	9	2.285608
0	4	10	-2.085865
0	4	19	-2.452839
0	4	7	-3.347668
0	4	14	-6.084135
0	4	13	-7.300459
0	4	18	-8.789349
0	4	16	-11.746498
0	4	17	-18.723822
0	5	11	16.200190
0	5	4	15.127544
0	5	2	14.120634
0	5	6	13.520839
0	5	8	12.190480
0	5	15	11.018313
0	5	9	10.351061
0	5	14	6.627420
0	5	5	5.003417
0	5	19	3.188381
0	5	0	2.091385
0	5	10	-2.345270
0	5	7	-3.990577
0	5	1	-6.080325
0	5	18	-7.164419
0	5	12	-11.783448
0	5	3	-11.887935
0	5	13	-15.789879
0	5	16	-16.060736
0	5	17	-19.247261
0	6	8	11.921283
0	6	1	11.464816
0	6	14	10.766483
0	6	5	10.474163
0	6	3	9.605079
0	6	6	7.452117
0	6	11	2.382674
0	6	0	2.241348
0	6	7	1.214635
0	6	13	0.300214
0	6	15	-5.908284
0	6	4	-6.406711
0	6	2	-9.057168
0	6	10	-9.282154
0	6	18	-9.516260
0	6	9	-13.308070
0	6	12	-15.185809
0	6	19	-16.911808
0	6	16	-17.706974
0	6	17	-20.139282
0	7	5	16.168997
0	7	1	14.539949
0	7	19	14.155207
0	7	4	13.625176
0	7	8	11.925545
0	7	2	10.878829
0	7	11	10.196437
0	7	15	9.406985
0	7	12	5.742395
0	7	9	4.626041
0	7	0	-0.642425
0	7	3	-0.707448
0	7	10	-1.251330
0	7	6	-1.996694
0	7	18	-4.269169
0	7	7	-8.496704
0	7	13	-8.663987
0	7	16	-12.101253
0	7	14	-14.077579
0	7	17	-18.772676
0	8	11	17.894659
0	8	5	16.482479
0	8	4	15.379815
0	8	10	14.637316
0	8	19	14.145724
0	8	8	12.302514
0	8	9	11.191047
0	8	7	11.121409
0	8	2	11.050044
0	8	15	10.225912
0	8	6	10.153234
0	8	14	9.822357
0	8	0	8.476947
0	8	18	7.334877
0	8	1	6.883529
0	8	3	-6.797505
