0	1	2	0.986198
0	1	14	0.985602
0	1	15	0.985290
0	1	1	0.984655
0	1	11	0.980830
0	1	10	0.980727
0	1	5	0.979452
0	1	4	0.977388
0	1	8	0.959334
0	1	3	0.942614
0	1	18	0.932533
0	1	9	0.930370
0	1	0	0.448397
0	1	6	-0.673436
0	1	12	-0.955530
0	1	13	-0.956165
0	1	19	-0.958993
0	1	7	-0.959239
0	1	16	-0.961030
0	1	17	-0.961475
0	2	2	0.992200
0	2	15	0.986963
0	2	14	0.984300
0	2	11	0.983820
0	2	4	0.982014
0	2	1	0.979533
0	2	10	0.975794
0	2	5	0.971867
0	2	8	0.958861
0	2	0	0.955624
0	2	3	0.952961
0	2	18	0.934059
0	2	9	-0.502276
0	2	6	-0.944473
0	2	7	-0.959416
0	2	13	-0.959631
0	2	12	-0.960235
0	2	19	-0.961132
0	2	16	-0.962755
0	2	17	-0.962835
0	3	15	0.982344
0	3	2	0.982082
0	3	14	0.981767
0	3	10	0.979677
0	3	1	0.979160
0	3	11	0.979141
0	3	5	0.978176
0	3	4	0.971658
0	3	8	0.955299
0	3	3	0.945226
0	3	9	0.935117
0	3	18	0.929620
0	3	0	0.467084
0	3	6	-0.666528
0	3	12	-0.954195
0	3	13	-0.955399
0	3	19	-0.955948
0	3	7	-0.956953
0	3	16	-0.958488
0	3	17	-0.960216
0	14	23	0.991919
0	14	61	0.991210
0	14	24	0.990912
0	14	25	0.990714
0	14	37	0.990282
0	14	20	0.989688
0	14	62	0.989563
0	14	43	0.988533
0	14	31	0.988144
0	14	63	0.987837
0	14	11	0.987475
0	14	27	0.987008
0	14	51	0.985570
0	14	32	0.985492
0	14	57	0.985127
0	14	64	0.984907
0	14	30	0.984210
0	14	46	0.984082
0	14	41	0.983400
0	14	28	0.982805
0	14	38	0.981636
0	14	53	0.981529
0	14	21	0.978943
0	14	14	0.978535
0	14	39	0.977557
0	14	26	0.976426
0	14	22	0.976174
0	14	71	0.976003
0	14	29	0.975802
0	14	65	0.965588
0	14	48	0.953984
0	14	3	0.907839
0	14	18	0.856014
0	14	78	0.746230
0	14	8	0.317026
0	14	52	-0.422663
0	14	50	-0.696640
0	14	45	-0.737557
0	14	54	-0.843430
0	14	36	-0.886913
0	14	42	-0.916534
0	14	40	-0.916759
0	14	47	-0.917503
0	14	72	-0.924648
0	14	66	-0.926144
0	14	58	-0.927276
0	14	70	-0.931869
0	14	69	-0.932627
0	14	74	-0.932687
0	14	76	-0.933410
0	14	73	-0.933911
0	14	56	-0.933946
0	14	77	-0.935437
0	14	79	-0.937857
0	14	85	-0.938518
0	14	75	-0.941299
0	14	33	-0.942680
0	14	44	-0.942875
0	14	35	-0.943013
0	14	49	-0.943181
0	14	55	-0.943557
0	14	34	-0.944442
0	14	16	-0.945047
0	15	23	0.983073
0	15	25	0.982881
0	15	43	0.981782
0	15	20	0.981446
0	15	37	0.981416
0	15	62	0.981412
0	15	24	0.980084
0	15	61	0.979124
0	15	31	0.979090
0	15	53	0.978333
0	15	63	0.978016
0	15	11	0.977381
0	15	51	0.977084
0	15	57	0.976049
0	15	41	0.975561
0	15	32	0.975132
0	15	28	0.974875
0	15	46	0.974840
0	15	30	0.973238
0	15	64	0.972283
0	15	38	0.971788
0	15	14	0.971576
0	15	26	0.968931
0	15	27	0.968447
0	15	21	0.968016
0	15	71	0.967456
0	15	22	0.964610
0	15	29	0.964447
0	15	65	0.959035
0	15	39	0.958647
0	15	48	0.956173
0	15	3	0.906570
0	15	18	0.852600
0	15	50	0.833987
0	15	78	0.749084
0	15	52	0.633996
0	15	8	0.319826
0	15	54	-0.716635
0	15	45	-0.736168
0	15	36	-0.881248
0	15	72	-0.914106
0	15	47	-0.914161
0	15	40	-0.914834
0	15	42	-0.916727
0	15	70	-0.917372
0	15	66	-0.924874
0	15	58	-0.927019
0	15	76	-0.930173
0	15	73	-0.931321
0	15	74	-0.931558
0	15	56	-0.932048
0	15	69	-0.932050
0	15	77	-0.933850
0	15	79	-0.933924
0	15	35	-0.938292
0	15	85	-0.938597
0	15	75	-0.939168
0	15	33	-0.940190
0	15	44	-0.940360
0	15	55	-0.941468
0	15	16	-0.941831
0	15	49	-0.942650
0	15	34	-0.943350
0	16	62	0.989530
0	16	20	0.989112
0	16	23	0.988505
0	16	43	0.988402
0	16	63	0.988336
0	16	37	0.987240
0	16	32	0.986541
0	16	57	0.986356
0	16	24	0.986005
0	16	51	0.985778
0	16	22	0.985600
0	16	25	0.985553
0	16	28	0.985483
0	16	31	0.985401
0	16	11	0.985157
0	16	26	0.984810
0	16	30	0.984555
0	16	61	0.984454
0	16	46	0.983672
0	16	14	0.982756
0	16	39	0.981633
0	16	41	0.980864
0	16	27	0.977889
0	16	53	0.977884
0	16	38	0.973521
0	16	29	0.973087
0	16	64	0.972487
0	16	65	0.971320
0	16	48	0.970224
0	16	71	0.966940
0	16	21	0.965062
0	16	3	0.928399
0	16	18	0.847012
0	16	78	0.766322
0	16	8	0.367390
0	16	52	-0.396590
0	16	50	-0.689950
0	16	45	-0.756493
0	16	36	-0.903251
0	16	54	-0.912304
0	16	58	-0.928990
0	16	70	-0.934260
0	16	72	-0.935224
0	16	42	-0.935612
0	16	40	-0.935904
