0	1	2	74.064606
0	1	1	73.859024
0	1	5	72.162506
0	1	14	70.263359
0	1	8	68.976532
0	1	18	59.346130
0	1	9	58.820999
0	1	3	54.904793
0	1	10	50.969177
0	1	13	50.535461
0	1	0	49.053398
0	1	11	48.166878
0	1	15	47.650665
0	1	16	40.941128
0	1	6	39.896568
0	1	4	34.769753
0	1	19	31.262531
0	1	7	26.204487
0	1	12	23.184029
0	1	17	23.059631
0	2	1	88.473785
0	2	5	83.027008
0	2	14	76.962631
0	2	8	73.921021
0	2	9	71.091553
0	2	11	68.260719
0	2	0	63.915985
0	2	2	63.307037
0	2	3	60.904022
0	2	18	50.758896
0	2	13	48.010704
0	2	16	44.576469
0	2	15	36.895714
0	2	10	34.690224
0	2	6	33.080360
0	2	4	32.417389
0	2	19	27.238232
0	2	12	25.162540
0	2	17	24.939400
0	2	7	16.166916
0	3	9	80.866440
0	3	1	78.523697
0	3	5	73.976624
0	3	2	70.783104
0	3	14	67.708672
0	3	8	67.563454
0	3	4	66.909225
0	3	11	62.863251
0	3	0	60.162346
0	3	18	59.627171
0	3	3	58.885262
0	3	10	52.957062
0	3	16	49.639671
0	3	15	48.015945
0	3	13	47.262939
0	3	6	38.093201
0	3	7	37.645020
0	3	19	25.885834
0	3	12	22.489273
0	3	17	22.257730
0	14	46	90.261703
0	14	24	86.418777
0	14	14	83.584412
0	14	65	83.463806
0	14	22	82.758972
0	14	37	81.732750
0	14	33	81.327286
0	14	45	80.306915
0	14	30	79.423553
0	14	61	79.061638
0	14	62	78.056190
0	14	20	77.008255
0	14	73	75.226624
0	14	43	74.385773
0	14	23	74.003693
0	14	3	71.533264
0	14	8	70.995590
0	14	56	70.647881
0	14	27	68.400391
0	14	21	67.518585
0	14	29	64.251480
0	14	39	62.476765
0	14	49	61.465572
0	14	63	55.401253
0	14	18	54.646240
0	14	64	54.240162
0	14	51	49.317307
0	14	28	48.642365
0	14	26	45.463959
0	14	16	41.733643
0	14	58	41.222328
0	14	74	40.943913
0	14	77	40.227791
0	14	25	39.592155
0	14	11	38.651295
0	14	47	37.198788
0	14	42	36.034088
0	14	35	35.418301
0	14	54	34.409142
0	14	70	34.305695
0	14	40	34.069550
0	14	66	33.585571
0	14	38	32.190376
0	14	36	31.942818
0	14	57	31.694019
0	14	52	31.431210
0	14	32	31.305855
0	14	71	30.932446
0	14	31	30.763367
0	14	72	30.596012
0	14	85	30.559128
0	14	50	30.093424
0	14	44	29.408308
0	14	48	27.862774
0	14	34	26.826019
0	14	53	26.639471
0	14	69	25.104158
0	14	76	24.974125
0	14	79	24.580334
0	14	78	24.433857
0	14	75	24.374470
0	14	55	24.374348
0	14	41	21.613369
0	15	20	83.474533
0	15	14	82.318161
0	15	43	80.810631
0	15	65	80.436478
0	15	27	78.422150
0	15	28	77.951538
0	15	62	77.651741
0	15	26	76.959808
0	15	21	76.671776
0	15	51	76.076614
0	15	3	74.146988
0	15	22	73.941391
0	15	46	73.732544
0	15	74	73.243958
0	15	37	72.815475
0	15	48	72.306335
0	15	63	71.944672
0	15	30	70.489975
0	15	58	70.303246
0	15	32	69.481689
0	15	45	67.338928
0	15	47	67.268486
0	15	56	67.167488
0	15	54	65.836723
0	15	24	65.742355
